,﻿5G era,无
0,70-year term of land use,无
1,A4 waist,无
2,dark matter,"n. 暗物质（根据一些理论，指太空中不反射光的物质）
"
3,hundred mark system,无
4,Centenary Goal,无
5,monthly subscription service,无
6,nanny blacklist,无
7,Conservative leadership race,无
8,postgraduate recommendation,无
9,cash deposit,"un. 现金存款
"
10,therapeutic massage, 保健按摩；治疗性按摩；治疗式按摩
11,shelf life,"n. 最佳食用日期
"
12,off the charts, 好得没治了；破记录；智商高的惊人
13,mayhem,n. 故意的伤害罪；重伤罪；蓄意的破坏
14,backpack tour,无
15,tragedy trump card,无
16,Beijing repose,无
17,endorse,vt. 背书；认可；签署；赞同；在背面签名
18,extortive donation,无
19,disdain chain,无
20,closed-book exam,无
21,sidestep taxes,无
22,compulsory course, 必修课；必修课程；妆造型必修
23,disguised inflation, 变相涨价be driven to drastic alternatives
24,lip service,"n. 空口的应酬话；口惠
"
25,stay true to the mission,无
26,unified real estate registration system,无
27,inappropriate behavior, 行为不适当；不恰当与不雅的行为；不恰当的行为
28,ministers' passage,无
29,asset declaration,无
30,financial fraud,n. 金融诈骗
31,betrothal gifts, 彩礼；订婚时男方送给女方的彩礼；聘礼
32,color run, 甩色；彩色跑步；彩色赛跑
33,participatory poverty-reduction,无
34,dining table pollution,无
35,market manipulation,"un. 市场操纵
"
36,toilet revolution,无
37,tea ceremony,"n. 茶道（日本沏茶和饮茶的礼仪）
"
38,sado,n. 茶道; [地名] [尼日利亚] 萨多
39,postpartum grooming,无
40,maternity bed,无
41,excess manufacturing capacity,无
42,overcapacity,n. 生产能力过剩
43,the Long March, 长征；金沙水拍；长途行军
44,long-haul flight,无
45,put on a rival show,无
46,excessive consumption,"un. 过度消耗
"
47,outdo oneself,"na. 得到空前成绩；尽自己最大的努力
"
48,supercomputer,n. [计] 巨型计算机，超级计算机
49,Super Tuesday,"na. 〈美〉超级星期二
"
50,superdelegate,n. 超级代表（美国出席民主党全国代表大会的非初选中的党员挑选的代表）
51,residents of Chaoyang district,无
52,auto show model,无
53,traffic subsidy,无
54,shirk,"vt. 逃避
vi. 推卸；逃避
"
55,pass the buck,"na. 推卸责任
"
56,sense of achievement, 成就感；有成就感；工作成就感
57,fuel pricing scheme,无
58,urban management officer,无
59,urban diseases,无
60,city cluster,城市组团
61,inter-city high-speed rail,无
62,urban air corridor,无
63,urban housing fund,无
64,rural-urban integration,城乡整合
65,urban growth boundary,无
66,ready-to-wear line,无
67,be given cold shoulder,无
68,receive kickbacks,无
69,sought-after,adj. 受欢迎的，很吃香的
70,impulse buy,"un. 不在事先计划内的购置
"
71,rechargeable card, 充值卡；充值卡的英文是；充值卡是
72,appearance fee,＝ appearance money
73,enter the next round,无
74,export duty,"na. 出口税
"
75,punching bag,"n. 出气筒；沙袋；(练习拳击用的)吊袋
"
76,maiden work, 处女作；指的就是处女作；贴身欲女
77,frozen pork reserve,无
78,traditional Chinese medicine,"na. 中药
"
79,pyramid scheme, 金字塔骗局；传销；层压式推销
80,issue registration tickets on site,无
81,run yellow lights,无
82,pro-innovation government,无
83,creative graduation photo,无
84,briefing,"n. 简报；作战指示
v. 概述；作…的摘要（brief的现在分词）"
85,secondary disaster, 次生灾害；二次灾害
86,whip-round,n. 募捐；凑份子
87,doctor food label,无
88,taxi-hailing app,无
89,squeal on someone,无
90,food stand,"n. 餐店
"
91,snack stand,快餐摊位
92,A-list star,无
93,mass shooting,"un. 集爆；大爆破
"
94,junior college student, 大专生；专科生；大专生是
95,full coverage of the serious illness insurance nationwide,无
96,mass tourism,"un. 大众旅游
"
97,red alert for fog,无
98,election anxiety,无
99,mass affluent class,无
100,designated driver business,无
101,substitute teacher,"n. 代课教师
"
102,gift card, 礼品卡；礼物卡；礼券
103,traffic restrictions based on even-and odd-numbered license plates,无
104,re-race alone,无
105,navigation satellite,"un. 〔军〕航行卫星；导航人造卫星
"
106,freelance tour guide,无
107,countdown gala,无
108,pirated book,无
109,registered unemployment rate,无
110,low profile,"na. 隐蔽不露的活动；低姿态的活动
"
111,vulgar productions,无
112,vulgar bullet-screen comments,无
113,phubber,指在社交场合注意力不集中喜欢看手机的人
114,low fertility trap,无
115,low-carbon cities,无
116,discounted subway fares in non-rush hours,无
117,active seismic period,无
118,Subway Library,无
119,earth sinking,无
120,illegal bank,无
121,gender-neutral bathroom,无
122,give a like,无
123,clickbait,无
124,telecom fraud,无
125,e-sports, 电子竞技；电子竞技运动；电子体育
126,electronic sports, 电子竞技；电子竞技运动
127,electricity-powered aircraft,无
128,electronic evidence,电子证据
129,movie royalties,无
130,film rating system,无
131,film panorama,无
132,electric self-balancing scooter,无
133,premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
134,degrade oneself, 掉价
135,pique someone's interest,无
136,phishing WiFi,无
137,top talents,无
138,customized calendar,无
139,Olympic Winter Games, 冬奥会；冬季奥运会系列；东奥会
140,ground-breaking ceremony,破土动工仪式
141,pep talk,"n. 〈非正式〉打气的话；激励人心的话
"
142,freezing rain,"un. 冻雨
"
143,jerry-built project,无
144,unicorn company,独角兽企业
145,toxic running track,无
146,toxic soil,毒土
147,be weaned from milk,无
148,arms sale to Taiwan,无
149,outbound direct investment,无
150,ODI,[计] 开放数据链路接口
151,multiple-entry visa, 多次入境签证；多次往返签证；多次签证
152,multilateral agreement on tax matters,无
153,multi-department structure,无
154,majority stake, 占大股；大股东
155,notorious market,无
156,malicious comments,无
157,video spoof,无
158,second-child economy,无
159,The 24 Solar Terms,无
160,two-dimensional barcode payment,无
161,carbon dioxide observatory satellite,无
162,middleman landlord,无
163,legal aid,"n. 法律援助（政府或某机构向需要帮助的人提供费用，使其能够寻求法律咨询或聘请律师）
"
164,legal knowledge, 法律知识；法律常识；法律知识化
165,anti-graft inspections,无
166,anti-monopoly probe,无
167,anti-dumping duty,"un. 反倾销税
"
168,meal pal,无
169,instant food,"un. 速熟食品
"
170,anti-cheating measures,无
171,property tax,"na. 财产税
"
172,reduce real estate inventory,无
173,property ownership certificate,无
174,kite-flying,n. 放风筝；发行通融票据；开空头支票
175,release of captive animals,无
176,illegal fundraising,非法集资
177,distribute dividends,派息，分红
178,hierarchical medical system,无
179,share fridge,无
180,sharing economy, 分享经济；分享型经济；共享经济
181,shotgun wedding,"n. 〈古,非正式〉奉子成婚
"
182,couple face,无
183,poverty threshold,无
184,welfare lottery, 福利彩票；天朝福利彩票；福彩
185,comfort fund,无
186,auxiliary police,无
187,pay-to-read,无
188,subcenter,n. <美>次要中心，（商业等的）次中心区; 子中心
189,home to the world's most billionaires,无
190,paternity leave,"n. 陪产假（父亲照顾新生儿的休假）
"
191,one-trillion-yuan GDP club,无
192,GDP calculation,无
193,reform promoters,无
194,dry spell,"un. 干期；连续干旱
"
195,superior line,无
196,high-end dining sector,无
197,high-risk group,"《英汉医学词典》high-risk group
高度危险人群"
198,Executive Master of Business Administration, 高级管理人员工商管理硕士；高级工商管理硕士；行政工商管理硕士
199,EMBA,abbr. 高级工商管理硕士（Executive Master of Business Administration）
200,high-temperature subsidy,无
201,farewell match,无
202,final game,决赛（球类适用）
203,swan song,n. 最后作品; （歌唱家、演员等的）告别演出; 天鹅哀鸣（西方古老传说中认为天鹅临死前会发出忧伤动听的歌声）
204,partition,"n. 划分，分开；[数] 分割；隔墙；隔离物
vt. [数] 分割；分隔；区分"
205,person-to-person mobile payment service,无
206,personal credit records,无
207,solo concert, 个人演唱会；独唱音乐会；个人独唱演唱会
208,work-related injuries,无
209,craftsmanship spirit,无
210,wage earners, 雇佣劳动者；工薪阶层；工薪族
211,open market operation,"n. 公开市场操作
"
212,public rental housing,无
213,supply side reform,无
214,purchase foreign currency,无
215,shopping scam,无
216,critical minority,无
217,bachelor crisis,无
218,China-made animated film,无
219,rates for domestic roaming and long-distance calls,无
220,domestically built aircraft carrier,无
221,defense and military reforms,无
222,national gene pool,无
223,World Consumer Rights Day,无
224,state funeral,"na. 国葬
"
225,national park system,无
226,State Preeminent Science and Technology Award,无
227,National Day floral displays,无
228,excessive packaging,无
229,returnee,n. 海归；回国军人；回校重读的学生
230,Chinese overseas scholastic,无
231,overseas shopping representative,无
232,sponge city,无
233,Maritime Silk Road,海上丝绸之路
234,maritime nuclear power plant,无
235,cross-border online shopping,无
236,blood-sweating horse,无
237,hospital appointment scalper,无
238,Zun of Peace,无
239,multi-burial grave,无
240,river chief system,无
241,nuclear security, 核安全；核安保；核保卫
242,core module, 核心模块；核心模组；核心单元
243,people who lack a hukou,无
244,unregistered citizens,无
245,black swan event, 黑天鹅事件；黑天鹅现象；黑鹄鹅事务
246,black taxi,= black cab
247,black whistle, 黑哨
248,Black Friday,"na. 黑色星期五
"
249,pay-photo,无
250,red envelope photo,无
251,red notice, 红色通报；红色通缉令；红色通知
252,iris recognition, 虹膜识别；虹膜辨识；虹膜识别技术
253,give one's full play,无
254,after-gaokao economy,无
255,call forwarding,"un. 呼叫转送
"
256,online insurance,无
257,Internet Plus government services,无
258,online finance,无
259,internet professional,无
260,Internet Investment Fund,无
261,driver's license reciprocal agreement,无
262,Shanghai-HK Stock Connect,无
263,outdoor diplomacy,无
264,chemical weapon substance,无
265,environmental police force,无
266,grey divorce,无
267,returning customer,无
268,central parity rate,无
269,buy votes,无
270,premarital health checkups,无
271,marital status certificate,无
272,live poultry trade,无
273,Rocket Force,无
274,sense of benefit,无
275,currency war,"un. 货币战
"
276,hunger marketing,无
277,city for opportunity,无
278,waterlogged road section,无
279,points-based hukou system,无
280,gene-editing technique,无
281,benchmark rate,标准费率；基准费率
282,BASIC countries,无
283,grassroots community,无
284,central heating,"n. 暖气；集中供暖
"
285,lucky date,无
286,auspicious date,无
287,vested interest group,无
288,real-time tax refund,无
289,price-hiking function,无
290,domestic violence restraining order,无
291,home services industry,无
292,family firm,"un. 家庭商号
"
293,sandwich class, 夹心阶层；夹心层；中层阶级
294,counterfeit note,伪钞，假钞票
295,price war,"n. 价格战（以减价来吸引顾客）
"
296,diet tea,无
297,cut the ribbon, 剪彩；剪裁；丝带
298,suggested retail price,建议零售价
299,J-20 stealth fighter,无
300,the 95th anniversary of the founding of the CPC,无
301,fast walking, 快速行走；快走
302,progressively raise retirement age,无
303,zombie enterprises,无
304,zombie meat,无
305,traffic violators,无
306,travel allowance,"un. 差旅津贴
"
307,transaction fee, 交易费；手续费；交易费用
308,traffic warden,"n. （处理违章停车的）交通管理员
"
309,after-holiday syndrome,无
310,fintech, 金融科技；表面处理技术展；金融资讯科技服务
311,financial market exit mechanism,无
312,bullion reserves,无
313,Ballon d'Or curse,无
314,no-fly zone,禁飞区
315,targeted poverty reduction,无
316,Pokermon Go,无
317,precision medicine, 精准药物；精准施药；精确医学
318,sperm bank,"n. 精子库（保存精子以便帮助女子进行人工受孕）
"
319,Beijing-Tianjin-Hebei integration,无
320,economic fugitive,无
321,overseas NGOs,无
322,resident identification card,无
323,last-gasp goal,n. 指“绝杀球”，是指在比赛的最后时刻攻破对方球门，对方已没有反扑的机会。
324,military budget,"un. 军事预算
"
325,military uniform, 军装；军服；戎衣
326,military training,"na. 军事训练
"
327,for high school and college students,无
328,a good start,无
329,open-book exam,无
330,burn the midnight oil,"na. 干到深夜；开夜车
"
331,open low-altitude airspace,无
332,War of Resistance against Japanese Aggression,无
333,scientific literacy,科学素养
334,alternative energy vehicle,无
335,passenger-carrying drone,无
336,air purifier,"un. 空气净化器
"
337,ghost town,"n. 〈比喻〉废城；空荡冷清的地方
"
338,sky train,空中列车(一架飞机牵引一架或数架滑翔机机组)[亦作air train]
339,air traffic congestion,空域拥挤
340,vacancy rate,"un. 〔经〕闲置率；空房比
"
341,in-flight WiFi services,无
342,empty-nest family,无
343,air rage tribe,无
344,pet phrase,"n. 囗头禅
"
345,leapfrog development,无
346,Trans-Pacific Partnership,无
347,TPP,abbr. thermal power plant 热电厂; thiamine pyrophosphate 焦磷酸硫胺素
348,delivery rush,无
349,courier company, 快递公司；快递速递；速递公司
350,L-shaped trajectory,无
351,garbage sorting,无
352,spam message, 垃圾短信；垃圾电子邮件
353,The Lancang-Mekong Cooperation mechanism,无
354,working-age population, 工作年龄人口；工作人口；劳动年龄人口
355,vintage car,"n. 老爷车
"
356,time-honored brand,无
357,long-standing problem, [经] 长期存在的问题
358,elderly immigrants,无
359,egg freezing,卵冷冻(把人卵子取出冷冻保存，供以后植入被赠者的子宫的技术)
360,frozen embryo,冷冻胚胎(可供植入妇女子宫作生育用)
361,divorce settlement, 离婚协议书；离婚财产协议；离婚协议金
362,departure tax refund scheme,无
363,Start of Spring,无
364,interest rate corridor,无
365,community of shared interests,无
366,be a street vendor,无
367,show one's hand,"na. 摊牌；摆计划；表示态度
"
368,show one's cards,"na. 摊牌；公开自己计划；公开自己的计划
"
369,quantum satellite,无
370,head-hunting company,猎头公司
371,tainted star,无
372,provisional suspension,无
373,additional train,无
374,rollover data service,无
375,mobile population, 流动人口；移动人口；城市流动人口
376,migrant children, 流动儿童；外来工子女；外来务工人口子女
377,student visa, 学生签证；办理学生签证；留学签证
378,left-behind children, 留守儿童；留守孩子
379,high fever of real estate,无
380,outdoor barbeque,无
381,minimum enrollment mark,无
382,lowest mark for admission,无
383,admission letter, 录取通知书；录取信；入学通知
384,travel deposit,无
385,green fireworks,无
386,visa-on-arrival, 落地签订；办落地签；落地签证
387,Marathon fever,无
388,two-for-one offer,无
389,selling point,"n. 卖点
"
390,pulsar navigation satellite,无
391,whole class teaching,无
392,blind reconstruction,无
393,blind liker,无
394,busy signal,"na. (电话的)占线信号
"
395,busy tone,"un. 忙音
"
396,human rights record of the US,无
397,well-informed,adj. 消息灵通的；见多识广的；熟悉的；博学的
398,password fatigue, 密码疲劳；密码疲劳症
399,room escape,无
400,free-of-charge return,无
401,duty-free shop, 免税商店
402,face consumption,无
403,Civil Code,"na. 民法
"
404,pain points for people's livelihoods,无
405,private investment,"un. 私人投资
"
406,slot allocation, 分配方法
407,meditation area,无
408,Hall of Fame,"na. 纽约市纪念美国名人的纪念馆；名人遗物收藏馆；杰出人物
"
409,motorcycle troops,无
410,baby-care room,无
411,breastfeeding,"n. 母乳哺育
v. 用母乳喂养（breastfeed的现在分词）"
412,MOOC, 网络公开课(Massive Open Online Courses)；mass open online course；大规模开放网络课程
413,bromeo,无
414,South China Sea arbitration case,无
415,disgruntled,adj. 不满的；不高兴的
416,horseplay at wedding,无
417,insider trading,"n. 内幕交易（根据内线消息买卖股票的违法行为）
"
418,reverse repurchase,无
419,adversity quotient,无
420,year-end summary,无
421,Lunar New Year's Eve dinner,无
422,annual assessment,无
423,year-end anxiety,无
424,diaper diplomacy,无
425,female guard of honor,无
426,female prime minister,无
427,hammer price,"n. 击槌价
"
428,drainage system,"na. 排水系统；【地】水系
"
429,emissions cheating scandal,无
430,pollutant discharge license,无
431,throw mortarboard,无
432,errand service,无
433,renovation of shanty towns,无
434,folk remedy, 偏方；民间疗法；民间验方
435,bay window,"n. 凸窗
"
436,box office flop,无
437,poor second generation,无
438,quality revolution,无
439,Apple Pay,苹果支付
440,pour cold water on,"na. (对他人计划等)泼冷水；使(人)沮丧
"
441,QQ emoji,无
442,the 7th Ring Road,无
443,henpecked,adj. 惧内的
444,cheongsam,n. 旗袍
445,corporate deleveraging,无
446,corporate culture,"na. 企业文化
"
447,flag-fall price,无
448,vehicle exhaust,"un. 汽车废气
"
449,car rental, 租车；汽车租赁；汽车出租
450,climate agreement,无
451,meteorological disaster,气象灾害
452,organ transportation,无
453,millennials,"adj. 一千年的；一千年至福的
"
454,signing session,无
455,lurk,"vi. 潜伏；潜藏；埋伏
n. 潜伏；埋伏"
456,forced marriage, 逼婚；逼婚记；婚姻
457,forced shopping,无
458,forced demolition,无
459,mandatory labeling,无
460,ticket purchasing plug-in,无
461,parent and child program,无
462,after-school job,无
463,avian influenza,"un. 禽流感；禽流行性感冒
"
464,love hotel, 情侣酒店
465,emotional eating,无
466,clear air turbulence,"un. 晴空湍流；晴空颠簸
"
467,emotional sunstroke,无
468,global governance system,无
469,stay-at-home dad, 全职爸爸；待在家里的爸爸；家庭主男
470,global partnership network,无
471,Family Bucket,无
472,all-weather friends,无
473,mass texting,无
474,group interview,"un. 小组面谈
"
475,group rental,无
476,beat about the bush,"na. 旁敲侧击；拨打草丛搜索猎物；旁敲侧击的刺探人意
"
477,humanitarian relief, 人道主义救援；人道救援；人道庇护
478,cloud seeding,"na. (人工降雨的)云的催化
"
479,census taker,"na. (人口)普查员
"
480,facial identification,无
481,body-painting, 身体彩绘；身体绘画；天体彩绘
482,artificial intelligence,"n. 人工智能
"
483,AI,abbr. 人工智能（artificial intelligence）
484,human papilloma virus, 人类乳突状病毒；人类乳突病毒；人类乳头状瘤病毒
485,man vs machine battle,无
486,human-to-human transmission,"《英汉医学词典》human-to-human transmission
人与人之间的传染"
487,interpersonal transmission,无
488,circuit-breaker mechanism,无
489,kindergarten crunch,无
490,disadvantaged groups, 弱势群体；劣势群体；弱势社群
491,vulnerable groups,"un. 易受损害的阶层
"
492,three-parent baby,三亲婴儿
493,farewell dinner,"n. 饯别宴
"
494,sex trade crackdown,无
495,face scan payment,无
496,Mori girl,无
497,fake app,无
498,flash crash, 闪电崩盘；闪电暴跌；闪崩
499,rush-to-get-married,无
500,quickie divorce,闪电离婚
501,commercial bribery, 商业贿赂；商业贿赂行为；商业受贿罪
502,commercial remote-sensing satellity,无
503,moon-viewing flight,无
504,Shanghai Gold Benchmark Price,无
505,door-to-door service,送货上门服务
506,social security premium rate,无
507,social security fund, [医]社会保险基金
508,public security,"na. 公安
"
509,social subsistence fee,无
510,sexually suggestive ad,无
511,body image-related pressure,无
512,status dividend,无
513,Shenzhen-Hong Kong Stock Connect,无
514,aesthetic fatigue, 审美疲劳
515,community of shared life,无
516,redlines for ecological conservation,无
517,ecological wealth,无
518,ecological red line,无
519,biometric data,生物特征数据
520,body clock,"n. 生物钟
"
521,birth registration service system,无
522,leftover men and women,无
523,brick-and-mortar bookstore,无
524,real-name ticket purchase,无
525,real-name whistleblower,无
526,real-name authentication,无
527,diet regimen,无
528,surveillance camera, 监控摄像机；监控摄像头；监视录影
529,government-funded public institution,无
530,Memory of the World Register,无
531,down payment loan,无
532,rat tribe,无
533,tree hole post,无
534,digital currency, 数字货币；电子货币；数字现金
535,digital wallet, 电子钱包；数码钱包；数位钱包
536,face swiping,无
537,double-edged sword, 双刃剑
538,innovative and entrepreneurial talent,无
539,be expelled from the CPC and removed from public office,无
540,double-decker,n. 双层甲板船；双层公共汽车；双层床；双层夹心三明治
541,double eyelid, 两倍的眼皮；单眼皮变双眼皮；双眼皮贴
542,two engines,无
543,smuggled goods,"na. 走私货
"
544,statutory taxation,无
545,successive postgraduate and doctoral program,无
546,Silk Road Fund,无
547,judicial explanation,无
548,judicial inspection,无
549,private equity investment,无
550,nametag ripping,无
551,courtyard dwellings,无
552,quadrangle dwellings,无
553,Four Comprehensives,无
554,home delivery,"un. 家庭接生
"
555,crash course,"n. 速成班；短期培训课程
"
556,fetal education,"《英汉医学词典》fetal education
胎教"
557,impeach,"n. 控告，检举；弹劾；怀疑
vt. 弹劾；归咎；怀疑"
558,corrupt spouse,无
559,lunar exploration program,无
560,carbon emission, 碳排放；碳排放量；二氧化碳排放
561,set meal, 套餐；客饭；份儿饭
562,Special Drawing Rights,"un. 〔经〕特别提款权
"
563,preferential tariff,"na. 特惠关税
"
564,cash withdrawal, 现金提取；取现；取款
565,surrogate country,无
566,additive,"n. 添加剂，添加物
adj. 附加的；[数] 加法的"
567,pre-movie ad,无
568,railway operation plan,无
569,wanted list, 通缉名单；寻人
570,ventilation corridor,无
571,sibling rivalry disorder,"《英汉医学词典》sibling rivalry disorder
同胞竞争障碍"
572,infant stealing,无
573,investment immigration,无
574,bookcrossing,"图书漂流（将一本书留在公共场所, 等待其他人捡走阅读, 捡走书的人读后也会照做）"
575,coloring books, 绘图本；著色本；彩色书
576,land sale revenue,无
577,expiration of land use rights,无
578,local specialty, 土特产；特色点心；地方特产
579,the 10-Chapter Soil Pollution Action Plan,无
580,nouveau rich,无
581,depository platform,无
582,Brexit referendum,无
583,bendgate,无
584,full-length trailer,无
585,refund policy for online shopping,无
586,internet celebrity economy,无
587,anti-online terror drill,无
588,cyberspace security strategy,无
589,community of shared future in cyberspace,无
590,online donation,无
591,online lottery sale,无
592,internet copyright infringement,无
593,online flea market,无
594,online fake news,无
595,live streaming, 串流；视频直播；串流直播
596,cyberspace sovereignty,无
597,cyberspace writer,无
598,online game curfew,无
599,online retails of medicine,无
600,online car-hailing,无
601,child molestation, 猥亵儿童；猥亵娈童案；儿童性骚扰
602,pseudo base station,无
603,entrusted investment,无
604,uncut version,无
605,failed military coup,无
606,relic hospital,无
607,cultural confidence,无
608,problematic vaccine,无
609,census of pollution sources,无
610,open-ended contract, 无固定期限合同
611,"smoke-free ""buffer zone""",无
612,UAV emergency rescue team,无
613,unconditional returns,无
614,No-Face Day,无
615,intangible asset,"n. 无形资产
"
616,five-kernel mooncake,无
617,five-year itch,无
618,red alert for smog,无
619,smog subsidy,无
620,smog face,无
621,smog refugee,无
622,property management, 物业管理；资产管理；财产管理
623,estate management,"un. 地产管理
"
624,Western-style butler,无
625,sunset industry,"n. 夕阳产业
"
626,Project Hope, 希望工程；世界健康基金会；美国世界健康基金会
627,Xi political economics,无
628,money laundering, 洗钱；洗黑钱；洗黑钱活动
629,brainwashing pop song,无
630,Summer Davos Forum,无
631,review-before-release system,无
632,on-site recruiting,无
633,pledge allegiance to the Constitution,无
634,houses with limited property rights,无
635,small displacement car,无
636,small-budget online series,无
637,mini apps,无
638,small guy,无
639,campus loan,无
640,school bullying,无
641,campus recruitment,"校园甄补, 校园招募"
642,assisted suicide,"n. （假医生等他人之手的）辅助自杀
"
643,new normal, 新常态；新的常态；新标准
644,new type of major-power relationship,无
645,new favorite, 新宠；新欢；新爱
646,new energy vehicle charger,无
647,new Chinese-style outfit,无
648,salary reform,无
649,chip card, 芯片卡
650,information disclosure, 信息披露；信息暴露；资料披露
651,star-rated hotels,无
652,walking wallets,无
653,extract confessions by torture,无
654,be tortured into confessing,无
655,sexual harassment,"n. 性骚扰
"
656,sexual prematurity,性早熟
657,happiness industries,无
658,suspend courses to do business,无
659,renew one's visa,无
660,deceptive advertising, 欺骗性广告；虚假广告；虚伪广告
661,virtual reality device,无
662,sequelitis, 接续
663,sequel syndrome,无
664,promotional video, 宣传视频；宣传片；视频宣传
665,academic credit system,无
666,academic misconduct,无
667,academic cheating, 学术造假；作弊行为；学术欺诈
668,students' affairs division,无
669,school district house,无
670,snowflake generation,无
671,sweatshop,n. 血汗工厂；剥削劳力的工厂
672,cruise on the street for customers,无
673,Asia Infrastructure Investment Bank,无
674,verification code, 验证码；验正码；输入下方验证码
675,fluffy catkins,无
676,foreign courier,无
677,elderly care service,无
678,lottery,n. 彩票；碰运气的事，难算计的事；抽彩给奖法
679,cash cow,"n. 【商】摇钱树；最赚钱的商品
"
680,medicine markup,无
681,drug driving, 药驾；药后驾驶；毒驾
682,drug test,"un. 药物检验
"
683,diploma mill,"na. 〈美俚〉滥发文凭的大学
"
684,evening market,无
685,night fair,无
686,Belt and Road Initiative,无
687,disposable dishware,无
688,one-off consumption,无
689,one-hour commuting circle,无
690,"one person, one account",无
691,one-person household,单身户
692,medical reform,无
693,doctor-patient disputes,无
694,habitable city,无
695,livable city, 宜居城市；适宜居住城市；适居的城市
696,mobile payment, 移动支付；行动支付；手机支付
697,house-for-pension,无
698,prospective member,准会员
699,silver tsunami,无
700,gravitational wave,"na. 【物】引力波
"
701,extradition request,无
702,invisible income,无
703,off-payroll income,无
704,national standards for infants and children's textile,无
705,baby formula, 婴幼儿配方奶粉；婴儿奶粉；婴儿配方
706,showmance, 荧幕恋情；戏假情真
707,show romance,无
708,replace business tax with value-added tax,无
709,VAT,abbr. 增值税（Value Added Tax）
710,emergency shelter,应急掩蔽部
711,this year's graduates, 应届毕业生；本届毕业生
712,examination-oriented education, 应试教育
713,congestion fee,无
714,ghost drivers,无
715,tour-bus accident,无
716,study tour, 游学；考察学习课程；美国游学
717,wall of kindness,无
718,paid make-up class,无
719,toxic friend,无
720,Hugo Award,无
721,jailhouse bully,无
722,original screenplay,原着剧本
723,full-beam headlight,"《英汉医学词典》full beam headlight
全光束头灯"
724,far side of the moon,月球背面
725,pre-pregnancy physical examinations,无
726,longest-reigning monarch,无
727,online teacher,无
728,online tutor,无
729,reclaimed water,"un. 回收水；回水
"
730,sponsored wedding, 赞助结婚
731,sponsorship fee,无
732,puppy love,早年初恋；少男少女间短暂的爱情（等于calf love）
733,early onset of puberty,无
734,school-selection fee,无
735,fried chicken and beer,无
736,Zika virus, 寨卡病毒；塞卡病毒
737,strategic focus, 战略重点；战略聚焦；策略焦点
738,emerging sectors of strategic importance,无
739,standing-only ticket,无
740,signature dish, 招牌菜；拿手菜；章芬擅菜
741,reception costs,无
742,vacuum package,真空包装
743,reality show, 以真实故事为题材的电视节目，如救难节目、火灾节目和警察节目。
744,pillow talk, 枕边细语；枕边风；枕边密语
745,politainer, 政治艺人
746,political ecology,政治生态学
747,political discipline and rules,无
748,fat tax, 肥胖税；肥胖捐；脂肪税
749,direct bank, 直接银行；网上银行
750,professional title, 职称；专业职称；技术职称
751,occupational pension, 职业年金；职业养老金；企业年金
752,career bottleneck,无
753,cage of regulations,无
754,think tank,"n. 专家小组
"
755,brain trust,"na. (一般)专家顾问团；〈英〉(广播电台中给听众解答问题的)答问员
"
756,robo-adviser,无
757,intelligent manufacturing,无
758,the Chinese Dream,无
759,China's Eye of Heaven,无
760,Made in China 2025,无
761,medium-term lending facility,无
762,MLF,abbr. 多边核力量（Multilateral Nuclear Force）；媒体语言格式（Media Language Format）
763,lifelong accountability system,无
764,seeded player,n. 种子选手
765,"crowd innovation, crowdsourcing, crowd support and crowdfunding",无
766,heavy-lift carrier rocket,无
767,hog cycle,无
768,phase out,"na. 使逐步结束；使逐步撤出；逐步淘汰；逐部停止(活动等)
"
769,liaison office in Beijing,无
770,lethal injection, 注射；注射死刑；致命性注射剂
771,special plate,无
772,genetically modified agricultural products,无
773,forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送
"
774,repost,"n. 尖锐的反驳；敏捷回刺
vt. 重新投寄"
775,retrieve lost cultural relics,无
776,birth permission certificate,无
777,role-playing board games,无
778,asset bubble, 资产泡沫；资产将有泡沫；资产是否迈入泡沫化
779,selfie,n. 自拍照
780,automatic docking,无
781,We-Media,无
782,free independent travel,无
783,self-study examination,自学考试
784,self-service bank,无
785,independent recruitment,无
786,variety show,"na. 杂耍演出
"
787,switchboard,n. 配电盘；接线总机
788,north-south and east-west intersecting economic belts,无
789,day student,"n. （寄宿学校的）走读生
"
790,off-campus student,无
791,soccer reform plan,无
792,soccer hooligan,无
793,foreign soccer coach,无
794,top-class soccer nation,无
795,exploit loopholes,无
796,lefty,n. 左撇子；左翼分子
797,essay prompt,无
