,ï»¿a big potato,none
0,a box office smash,none
1,a bunch of,none
2,a couple of,none
3,a cushion of air,none
4,a heavy demand for,none
5,a host of,none
6,a matter of time,none
7,a multitude of,none
8,a piece of cake,none
9,a range of,none
10,a series of,none
11,a set of,none
12,a shortage of,none
13,a slice of,none
14,a sort of,none
15,a stone's throw away from,none
16,a variety of,none
17,a vicious circle,none
18,a wealth of,none
19,academic atmosphere,none
20,academic circle,none
21,access to,none
22,account for,none
23,adapt to,none
24,add up to,none
25,add ... to,none
26,adept in,none
27,adjacent to,none
28,adjust to,none
29,adult education,none
30,advertising campaign,none
31,advice on,none
32,aerial photograph,none
33,afford to,none
34,agree on,none
35,agricultural workforce,none
36,ahead of time,none
37,aim to,none
38,air conditioning,"v control the humidity and temperature of
v equip with an apparatus for controlling the humidity and temperature"
39,all of a sudden,none
40,all set,none
41,all walks of life,none
42,all-talking film,none
43,alter the course of one's life,none
44,alternative fuel,none
45,alternative work,none
46,annual fee,none
47,annual interest rate,none
48,anything but,none
49,apart from,none
50,appeal to,none
51,appear to,none
52,application form,none
53,apply for,none
54,approach to,none
55,argue over,none
56,arise from,none
57,art exhibition,none
58,art gallery,none
59,as a result,none
60,as a result of,none
61,as a whole,none
62,as far as,none
63,as far as I know,none
64,as far as sth. is concerned,none
65,as I see it,none
66,as long as,none
67,as much as,none
68,as though,none
69,as usual,none
70,as well as,none
71,ask for trouble,none
72,assembly line,none
73,assist with,none
74,at a loss,none
75,at a significant cost,none
76,at all times,none
77,at any time,none
78,at least,none
79,at one time,none
80,at one's service,none
81,at risk,none
82,at some stage,none
83,at the end of,none
84,at the expense of,none
85,at the moment,none
86,at the outset,none
87,at the top of,none
88,at this stage,none
89,at work,none
90,attach ... to,none
91,attempt to,none
92,attitude towards,none
93,average salary,none
94,baby cot,none
95,baggage reclaim,none
96,bail out,none
97,bank statement,none
98,bank transfer,none
99,bar graph,none
100,bare skin,none
101,be absent from,none
102,be accompanied by,none
103,be addicted to,none
104,be against,none
105,be alienated from,none
106,be allergic to,none
107,be around the corner,none
108,be associated with,none
109,be attached to,none
110,be attributed to,none
111,be based on,none
112,be beneficial to,none
113,be best with,none
114,be blamed for,none
115,be bound for,none
116,be bound to,none
117,be broken beyond repair,none
118,be close to,none
119,be closely linked to,none
120,be composed of,none
121,be concerned about,none
122,be concerned with,none
123,be confronted with,none
124,be confused about,none
125,be covered with,none
126,be crazy about,none
127,be dependent on,none
128,be dependent upon,none
129,be dotted with,none
130,be eligible for,none
131,be embossed with,none
132,be entitled to,none
133,be entitled to do,none
134,be equipped with,none
135,be expelled from,none
136,be familiar with,none
137,be fascinated by,none
138,be flexible in,none
139,be fond of,none
140,be fussy about,none
141,be going extinct,none
142,be good with,none
143,be honest with,none
144,be ideal for,none
145,be impatient with,none
146,be in charge of,none
147,be in good form,none
148,be in good shape,none
149,be in good health,none
150,be incapacitated with,none
151,be incompatible with,none
152,be innovative with,none
153,be keen on,none
154,be likely to do,none
155,be located on,none
156,be mad about,none
157,be mad at,none
158,be made into,none
159,be made of,none
160,be motivated to do,none
161,be nervous of,none
162,be on speaking terms,none
163,be on the safe side,none
164,be open to,none
165,be opposed to,none
166,be packed with,none
167,be parallel to,none
168,be popular among,none
169,be prepared to do,none
170,be prone to,none
171,be proud of,none
172,be relevant to,none
173,be removed from,none
174,be replaced with,none
175,be responsible for,none
176,be satisfied with,none
177,be shocked to do,none
178,be shouted at,none
179,be sick with,none
180,be stuck on,none
181,be suited to,none
182,be supposed to do,none
183,be taken aback,none
184,be taken to court,none
185,be teeming with,none
186,be told to do,none
187,be torn between ... and,none
188,be unfamiliar to,none
189,be unwilling to do,none
190,be vital to,none
191,be well off,none
192,beauty saloon,none
193,bed linen,none
194,belong to,none
195,bend over,none
196,benefit from,none
197,best buy,none
198,best man,none
199,beware of,none
200,bid for,none
201,blame for,none
202,blood pressure,none
203,blow up,"n a violent release of energy caused by a chemical or nuclear reaction
n an unrestrained expression of emotion
n a photographic print that has been enlarged"
204,boarding school,none
205,book over the phone,none
206,book ... in,none
207,book up,none
208,boost one's confidence,none
209,boost the efficiency of,none
210,bother to do,none
211,bother with,none
212,box office,none
213,brand name,none
214,break down,"n. a mental or physical breakdown
n. a cessation of normal operation
n. an analysis into mutually exclusive categories"
215,break off,none
216,break records,none
217,break the record,none
218,break with,none
219,breeze through,none
220,bring about,none
221,bring along,none
222,bring out,none
223,bring up,none
224,broadband connection,none
225,brush up lessons,none
226,budget price range,none
227,build up,"n. the act of building up an accumulation
n. the result of the process of accumulation
n. highly favorable publicity and praise"
228,build up one's confidence,none
229,bullet point,none
230,bump into,none
231,burn out,none
232,bus route,none
233,buy sb. out,n. acquisition of a company by purchasing a controlling percentage of its stock
234,by hand,none
235,by heart,none
236,by installment,none
237,by means of,none
238,by profession,none
239,by the middle of,none
240,by the way,none
241,call ... out,n. a challenge to a fight or duel
242,call slip,none
243,cancel one's reservation,none
244,capable of doing,none
245,car exhaust fume,none
246,carry on,none
247,carry out,none
248,case study,none
249,cash the check,none
250,cash the cheque,none
251,cashpoint machine,none
252,cast one's eyes along,none
253,catch a glimpse of,none
254,catch sb. red handed,none
255,cater for,none
256,certificate course,none
257,change one's mind,none
258,charter flight,none
259,chase up,none
260,chat with,none
261,check in,n. the act of reporting your presence (as at an airport or a hotel)
262,check on,none
263,check out,"n. the latest time for vacating a hotel room
n. a counter in a supermarket where you pay for your purchases"
264,check account,none
265,cheque account,none
266,cheer ... up,none
267,cheering section,none
268,church service,none
269,civil servant,none
270,classical literature,none
271,classical music,none
272,clean up,n. (baseball) the fourth position in the batting order (usually filled by the best batter on the team)
273,clear off,none
274,closed reserve,none
275,closed stacks,none
276,coffee break,none
277,come along,none
278,come to an end,none
279,come to nothing,none
280,come true,none
281,come up to,none
282,come up with,none
283,commercial value,none
284,commercial bank,none
285,merchant bank,none
286,commit a crime,none
287,common sense," See Common sense, under Sense."
288,communicate with,none
289,compare with,none
290,compatible with,none
291,compensate for,none
292,compete with,none
293,complain about,none
294,compound apartment,none
295,computer literate,none
296,concentrate on,none
297,concessions for,none
298,confine oneself to,none
299,confine oneself to doing,none
300,confirm a reservation,none
301,consist of,none
302,contact lenses,none
303,contrary to,none
304,contribute to,none
305,convert into,none
306,convince sb. of,none
307,cooperate with,none
308,cope with,none
309,corporate loan,none
310,correspondence course,none
311,cost sb. an arm and a leg,none
312,cough up,none
313,counselling service,none
314,count on,none
315,count towards,none
316,course arrangement,none
317,course code,none
318,course feedback form,none
319,cover an area of,none
320,cover the cost of,none
321,crack down,n. severely repressive actions
322,cramming teaching,none
323,credit card,none
324,credit point,none
325,creep up on,none
326,crime rate,none
327,cross-country race,none
328,culture shock,none
329,cup of tea,none
330,currency exchange,none
331,current account,none
332,current affair,none
333,curriculum schedule,none
334,curriculum vitae,none
335,cut down,none
336,cut out,"n. a switch that interrupts an electric circuit in the event of an overload
n. a photograph from which the background has been cut away
n. a part that is cut out or is intended to be cut out"
337,dash off,none
338,date back to,none
339,date of expiry,none
340,daytime phone number,none
341,dead easy,none
342,deal with,none
343,death toll,none
344,debate on ... with,none
345,department store,none
346,departmental library,none
347,departure lounge,none
348,depend on,none
349,depend upon,none
350,deposit account,none
351,deposit money in a bank,none
352,descend from,none
353,die a death,none
354,die out,none
355,dip into,none
356,diploma course,none
357,direct line number,none
358,direct flight,none
359,non-stop flight,none
360,discussion group,none
361,dispute against,none
362,dispute with,none
363,distance education,none
364,divide into,none
365,divide up,none
366,divorce rate,none
367,do a face-to-face interview,none
368,do a presentation on,none
369,do background reading,none
370,do further study,none
371,do housework,none
372,do jogging,none
373,do ... a favor,none
374,do some trips,none
375,do ... on one's own,none
376,domestic market,none
377,double lock,"v. t. To lock with two bolts; to fasten with double
   security."
378,double unit,none
379,double-bed room,none
380,draft an outline,none
381,draft plan,none
382,draw out,none
383,draw the line,none
384,draw up,none
385,dress rehearsal,none
386,dressing room,none
387,drop down,none
388,drop in,none
389,drop out of,none
390,drop-out rate,none
391,dry up,none
392,due to,none
393,duty-free shop,none
394,eager to do,none
395,eat out,none
396,ecological balance,none
397,education system,none
398,either ... or,none
399,electronic gadget,none
400,eligible to do,none
401,embark on,none
402,embark upon,none
403,emphasize on,none
404,enable ... to do,none
405,end up,none
406,end with,none
407,endangered species,none
408,enjoy a superb reputation,none
409,enquire about,none
410,enrol on,none
411,enrollment fee,none
412,enrollment form,none
413,entertainment facilities,none
414,entertainment industry,none
415,even though,none
416,every walk of life,none
417,evolve into,none
418,except for,none
419,excess charge,none
420,exchange rate,none
421,exchange student,none
422,expand one's knowledge,none
423,expect ... to do,none
424,extended family,none
425,extensive reading,none
426,extra cost,none
427,eye contact,none
428,face up to,none
429,faculty head,none
430,fall in love with,none
431,fall to,none
432,fall upon,none
433,fall on,none
434,familiarize oneself with,none
435,family album,none
436,family bonds,none
437,family planning policy,none
438,family reunion,none
439,feel bored with,none
440,feel free to do,none
441,field research,none
442,field trip,none
443,fill out,none
444,fill ... in,n someone who takes the place of another (as when things get dangerous or difficult)
445,fill ... in on,none
446,financial assistance,none
447,financial budget,none
448,financial circumstance,none
449,financial crisis,none
450,find it's difficult to do,none
451,finish off,none
452,fire away,none
453,fire exit,none
454,first aid,none
455,first of all,none
456,fix up,none
457,flag down,none
458,floppy disk,none
459,focus on,none
460,for instance,none
461,for lease,none
462,for rent,none
463,for one thing,none
464,for the sake of,none
465,freak out,none
466,freeze over,none
467,frequency of buses,none
468,from the outset,none
469,at the outset,none
470,full address,none
471,full refund,none
472,full-time student,none
473,fundamental differences between ... and,none
474,further education,none
475,gain a reputation for,none
476,gear change,none
477,gene pool,none
478,general practitioner,none
479,generally speaking,none
480,get a good view of,none
481,get a move on,none
482,get a refund,none
483,get admitted to,none
484,get along with,none
485,get an extension of time,none
486,get behind with,none
487,get hold of,none
488,get hurt,none
489,get into,none
490,get into the habit of,none
491,get into trouble,none
492,get married,none
493,get on one's nerve,none
494,get on with,none
495,get promoted,none
496,get ... down,none
497,get separated from,none
498,get straight down to,none
499,get stuck,none
500,get the best deal,none
501,get the hang of,none
502,get through,none
503,get to grips with,none
504,get used to,none
505,give a prescription,none
506,give comments on,none
507,give off,none
508,give out,none
509,give over to,none
510,give priority to,none
511,give ... a sack,none
512,give ... a miss,none
513,give away,"n. a gift of public land or resources for the private gain of a limited group
n. an unintentional disclosure"
514,give up,none
515,glance down at,none
516,global warming,none
517,go ahead,"n a signal to proceed
n readiness to embark on bold new ventures"
518,go away,none
519,go back,none
520,go bad,none
521,go for a dinner,none
522,go for an interview,none
523,go for the interview,none
524,go hand in hand,none
525,go hand in hand with,none
526,go off,none
527,go on a date,none
528,go on strike,none
529,go out of fashion,none
530,go over,none
531,go rock climbing,none
532,go round,none
533,go surfing,none
534,go through,none
535,go under,none
536,go up,none
537,go with,none
538,graduate from,none
539,graduation ceremony,none
540,greenhouse gas emission,none
541,greenhouse effect,none
542,gross national product,none
543,ground floor,s on the floor closest to level with the ground
544,group discussion,none
545,group interview,none
546,grow up,none
547,guided tour,none
548,hall of residence,none
549,hand in,none
550,hand out,"n. an announcement distributed to members of the press in order to supplement or replace an oral presentation
n. giving money or food or clothing to a needy person"
551,hand over,n. act of relinquishing property or authority etc
552,handicapped toilet,none
553,hang on,none
554,hang on to,none
555,hang out with,none
556,hang over,"n. disagreeable aftereffects from the use of drugs (especially alcohol)
n. something that has survived from the past"
557,hatch out,none
558,have a baby,none
559,have a blast,none
560,have a check,none
561,have a fever,none
562,have a good relationship with,none
563,have a look around,none
564,have a look,none
565,have a reputation for,none
566,have a significant effect on,none
567,have a significant impact on,none
568,have a sore throat,none
569,have a stuffed nose,none
570,have access to,none
571,have an overdraft,none
572,have disagreement on,none
573,have taste in,none
574,have a taste in,none
575,have faith in,none
576,have links with,none
577,have no choice but do,none
578,have no choice but to do,none
579,have problems with,none
580,have ... done,none
581,have trouble in doing,none
582,have trouble with,none
583,having said that,none
584,health system,none
585,healthy diet,none
586,hear about,none
587,help with,none
588,help out,none
589,high heels,plural of high-heel
590,high jump,none
591,historical viewpoint,none
592,hit on,none
593,hit upon,none
594,hold a reception,none
595,hold up,"n robbery at gunpoint
n the act of delaying; inactivity resulting in something being put off until a later time"
596,home visit,none
597,host family,none
598,house appliance,none
599,household appliance,none
600,household budget,none
601,household waste,none
602,hover around,none
603,hunt for,none
604,hustle and bustle,none
605,illegal profit,none
606,immigrate to,none
607,immune system,none
608,impose on,none
609,impose upon,none
610,in a dilemma,none
611,in a mess,none
612,in a position to,none
613,in a slump,none
614,in a way,none
615,in a word,none
616,in accordance with,none
617,in addition,none
618,in addition to,none
619,in advance,none
620,in broad terms,none
621,in case,"v enclose in, or as if in, a case"
622,in case of,none
623,in circulation,none
624,in comparison,none
625,in comparison with,none
626,in danger,none
627,in detail,none
628,in employment,none
629,in full blossom,none
630,in favour of,none
631,in general,none
632,in demand,none
633,in great demand,none
634,in harmony,n. Want of harmony.
635,in line with,none
636,in moderation,none
637,in most cases,none
638,in need of,none
639,in other words,none
640,in part,none
641,in particular,none
642,in person,s an appearance carried out personally in someone else's physical presence
643,in place,none
644,in reaction to,none
645,in relation to,none
646,with relation to,none
647,in short supply,none
648,in spite of,none
649,in stock,none
650,in store,v. t. To store up; to inclose; to contain.
651,in terms of,none
652,in that case,none
653,in the end,none
654,in the first place,none
655,in the heart of,none
656,in the majority,none
657,in the meantime,none
658,in the middle of,none
659,in the middle of nowhere,none
660,in that position,none
661,in the region of,none
662,in the same vein,none
663,in this case,none
664,in total,none
665,in ... faculty,none
666,incineration plant,none
667,incorporate ... into,none
668,indifference to,none
669,individual circumstance,none
670,information desk,none
671,information explosion,none
672,insight into,none
673,insist on,none
674,inspire ... to do,none
675,instant coffee,none
676,instant hit,none
677,instead of,none
678,insufficient for,none
679,insurance for,none
680,integrate into,none
681,intensive reading,none
682,interest rate,none
683,interest-free overdraft,none
684,interfere with,none
685,interior decoration,none
686,inter-library service,none
687,international trade,none
688,introduce ... to,none
689,iron out,none
690,irreversible damage,none
691,it makes no sense to,none
692,it's a pleasure for ... to do,none
693,it is absolutely essential for ... to,none
694,becomes absolutely essential for ... to,none
695,it's no exaggeration to say that,none
696,it's worthwhile to do,none
697,it's necessary to do,none
698,job description,none
699,job responsibility,none
700,joint account,none
701,joint effort,none
702,just as well,none
703,keep fit,none
704,keep in touch with,none
705,keep on the file,none
706,keep ... in mind,none
707,keep to oneself,none
708,keep watch on,none
709,keep-fit studio,none
710,kick ... out of,none
711,kill off,none
712,kind of,none
713,knock down,s. strong enough to knock down or overwhelm
714,know ... backwards and forwards,none
715,known as,none
716,landfill site,none
717,last but not least,none
718,late fee,none
719,launch new products,none
720,laundry fee,none
721,lead into,none
722,lead to,none
723,learn through,none
724,lecture on,none
725,letter of acceptance,none
726,leisure time,none
727,lend an ear,none
728,letter of recommendation,none
729,life expectancy,none
730,light rail,none
731,line up,n. a line of persons arranged by police for inspection or identification
732,live music,none
733,living condition,none
734,loads of,none
735,local resident,none
736,log on,none
737,log in,v enter a computer
738,long jump,none
739,look ahead,none
740,look back,none
741,look forward to,none
742,look through,none
743,look up,n an operation that determines whether one or more of a set of items has a specified property
744,lose sight of,none
745,lose temper,none
746,lottery ticket,none
747,lower the rate of,none
748,low-risk investment,none
749,loyalty to,none
750,lucky you,none
751,lunar calendar,none
752,maid of honor,none
753,main branch,none
754,main course,none
755,main topic,none
756,make a complaint,none
757,make a deep impression,none
758,make a detour,none
759,make a hit,none
760,make a nominal charge,none
761,make note of,none
762,make a note of,none
763,make a provisional booking,none
764,make a quick getaway,none
765,make a reference to,none
766,make a wish,none
767,make allowances for,none
768,make an application,none
769,make an appointment,none
770,make an effort to,none
771,make efforts to,none
772,make an exception,none
773,make an exception of,none
774,make clear,none
775,make difference,none
776,make friends with,none
777,make great progress,none
778,make headway,none
779,make it difficult for ... to do,none
780,make notes,none
781,make one's blood boil,none
782,make out of,none
783,make seat reservation,none
784,make sure,none
785,make up one's mind,none
786,make up,"n an event that is substituted for a previously cancelled event
n the way in which someone or something is composed
n cosmetics applied to the face to improve or change your appearance"
787,make use of,none
788,make waves,none
789,make the ... conclusion,none
790,draw the ... conclusion,none
791,man of the year,none
792,management layer,none
793,man-made object,none
794,manual gear,none
795,many thanks to ... for doing,none
796,market economy,none
797,market share,none
798,marketing consultant,none
799,mass media,none
800,maximum profit,none
801,medium-sized city,none
802,meet the deadline,none
803,meet one's needs,none
804,meet up,none
805,meet up with,none
806,metropolitan area,none
807,military use,none
808,mind doing,none
809,mind you,none
810,misplace trust in,none
811,more or less,none
812,motivate ... to do,none
813,mountain climbing,none
814,move along,none
815,move away from ... to,none
816,move forward,none
817,move on,none
818,move on to,none
819,multiple entry visa,none
820,musical instrument,none
821,natural resources,none
822,natural scenery,none
823,never mind,none
824,nine-year compulsory education,none
825,no charge,none
826,no exception,none
827,no substitute for,none
828,non-native speaker,none
829,non-smoking section,none
830,nose dive,"n. a sudden sharp drop or rapid decline
v. plunge nose first; drop with the nose or front first, of aircraft"
831,not always be the case,none
832,not for circulation,none
833,not have a clue about,none
834,not mean any offense on,none
835,not only ... but also,none
836,not to mention,none
837,not ... but rather,none
838,note down,none
839,notice board,none
840,now that,none
841,nuclear family,none
842,nursing care,none
843,ocean current,none
844,off campus,none
845,off topic,none
846,offer opportunity for ... to do,none
847,give opportunity for ... to do,none
848,office staff,none
849,on a roll,none
850,on average,none
851,on business,none
852,on campus,none
853,on display,none
854,on hand,none
855,on impulse,none
856,on one's behalf,none
857,on one's way to,none
858,on request,none
859,on second thoughts,none
860,on strike,none
861,on the margin of,none
862,on the minus side,none
863,on the other hand,none
864,on the phone,none
865,on the same wavelength,none
866,on the weaker side,none
867,on the whole,none
868,on top of,none
869,one's best bet,none
870,the best bet,none
871,open a bank account,none
872,open admission,none
873,open stacks,none
874,open ticket,none
875,open shelves,none
876,opening time,none
877,other than,none
878,ought to do,none
879,out of bounds,"s outside the foul lines
s barred to a designated group"
880,out of character,none
881,out of date,s old; no longer valid or fashionable
882,out of print,none
883,out of shape,none
884,out of temper,none
885,out of the way,"s. out of the ordinary
s. improper or even offensive"
886,out on loan,none
887,over and above,none
888,over the phone,none
889,overseas student,none
890,owe ... to,none
891,ozone layer,none
892,pace of life,none
893,packing list,none
894,pain killer,n a medicine used to relieve pain
895,parallel to,none
896,parent organization,none
897,parking lot,none
898,parking permit,none
899,parking sticker,none
900,part exchange,none
901,part-time job,none
902,participate in,none
903,passport photo,none
904,pay a ... deposit,none
905,pay a mortgage,none
906,pay the mortgage,none
907,pay attention to,none
908,pay for,none
909,pay off,n. the final payment of a debt
910,pay tribute to,none
911,peak time,none
912,per person,none
913,personal contents insurance,none
914,personal possession,none
915,personal statement,none
916,personality questionnaire,none
917,personally speaking,none
918,personnel management,none
919,phone bill,none
920,phone up,none
921,pick one's brain,none
922,pick out,none
923,pitch in,none
924,places of historical interest,none
925,plan on,none
926,plastic bag,none
927,play a significant role,none
928,plenty of evidence has shown that,none
929,point of view,none
930,point out,none
931,population growth,none
932,pose a threat to,none
933,postgraduate student,none
934,potential customer,none
935,potential problem,none
936,prefer ... to,none
937,present oneself,none
938,prevent ... from,none
939,price range,none
940,price structure,none
941,pride oneself on,none
942,proficient in,none
943,proficient at,none
944,profound influence,none
945,projection system,none
946,promote sustainable development,none
947,property insurance,none
948,propose a toast,none
949,protect ... from,none
950,provide ... with,none
951,public transport system,none
952,publicity leaflet,none
953,pull out,n to break off a military action with an enemy
954,pull up,n. an arm exercise performed by pulling yourself up on a horizontal bar until your chin is level with the bar
955,punch in,none
956,punch line,none
957,punch out,none
958,push up,n. an arm exercise performed lying face to the floor and pushing the body up and down with the arms
959,put aside,none
960,put down,n. a crushing remark
961,put emphasis on,none
962,put one's feet up,none
963,put ... at risk,none
964,put ... on to,none
965,put ... through,none
966,put together,none
967,put up,s. planned secretly
968,queue up,none
969,range from ...,none
970,range from ... to,none
971,rather than,none
972,raw materials,none
973,recommend ... to,none
974,recommend ... for,none
975,recover from,none
976,refer to,none
977,reference letter,none
978,reference materials,none
979,reference number,none
980,reference source,none
981,reference stacks,none
982,refrain from,none
983,refresh one's memory,none
984,refresher course,none
985,regard as,none
986,regardless of,none
987,register with,none
988,registered mail,none
989,registration fee,none
990,regular meeting,none
991,relate to,none
992,relay race,none
993,release pressure,none
994,religious practice,none
995,rely on,none
996,rely upon,none
997,remind ... of,none
998,removals van,none
999,research assessment,none
1000,research method,none
1001,research methodology,none
1002,resistant to,none
1003,respond to,none
1004,response rate,none
1005,response to,none
1006,result from,none
1007,result in,none
1008,ringback tone,none
1009,roam about,none
1010,root for,none
1011,round-trip ticket,none
1012,roundabout route,none
1013,routine work,none
1014,run across,none
1015,run into,none
1016,run out of,none
1017,run risks,none
1018,run the risk of,none
1019,run through,n. an uninterrupted rehearsal
1020,run wild,none
1021,rush hour,none
1022,rush off,none
1023,sanitary condition,none
1024,satisfy the need of,none
1025,save a back-up copy,none
1026,save up,none
1027,saver ticket,none
1028,savings account,none
1029,scare off,none
1030,scenic spot,none
1031,science fiction,none
1032,security entrance,none
1033,sell out,n. an act of betrayal
1034,semi-detached house,none
1035,send out,none
1036,senior citizen,none
1037,serve ... with,none
1038,service charge,none
1039,set aside,s reserved in advance
1040,set back,n. structure where a wall or building narrows abruptly
1041,set down,"n. The humbling of a person by act or words, especially by a
   retort or a reproof; the retort or the reproof which has such effect."
1042,set out,"n. A display, as of plate, equipage, etc.; that which is
   displayed."
1043,set off,"n. That which is set off against another thing; an offset.
n. That which is used to improve the appearance of anything;
   a decoration; an ornament.
n. A counterclaim; a cross debt or demand; a distinct claim
   filed or set up by the defendant against the plaintiff's demand.
n. Same as Offset, n., 4.
n. See Offset, 7."
1044,set the table,none
1045,set up,n. the way something is organized or arranged
1046,settle down,none
1047,share the view on,none
1048,shift work,none
1049,shock value,none
1050,shoot a film,none
1051,show off,n someone who deliberately behaves in such a way as to attract attention
1052,show up,none
1053,shut down,n termination of operations
1054,side effect,none
1055,sightseeing spot,none
1056,sign a contract with,none
1057,sign up,none
1058,single-speed cycle,none
1059,sit in,n. a form of civil disobedience in which demonstrators occupy seats and refuse to move
1060,sit with,none
1061,slip from ... to,none
1062,slip on,n. an article of clothing (garment or shoe) that is easily slipped on or off
1063,slow down,n. the act of slowing down or falling behind
1064,snap up,none
1065,so forth,none
1066,soak up,none
1067,social interaction,none
1068,social welfare,none
1069,soft drink,none
1070,soil conditioner,none
1071,solar energy,none
1072,sort ... out,none
1073,sound good,none
1074,spare time,none
1075,spark off,none
1076,speak at natural speed,none
1077,speak of,none
1078,speak up,none
1079,speak up for,none
1080,special clinic,none
1081,specialized course,none
1082,speed up,n the act of accelerating; increasing the speed
1083,split off,none
1084,spoken English,none
1085,spot on,none
1086,spring up,none
1087,sprout up,none
1088,staff room,none
1089,stand for,none
1090,stand out,none
1091,standard of living,none
1092,start off,none
1093,start up,"n. One who comes suddenly into notice; an upstart.
n. A kind of high rustic shoe.
a. Upstart."
1094,start with a clean slate,none
1095,state-run enterprise,none
1096,stay in touch with,none
1097,stay within the budget,none
1098,stereo system,none
1099,stick shift,none
1100,stick in one's mind,none
1101,stick to,none
1102,stock market,none
1103,store ... away,none
1104,store ... up,none
1105,straight away,n. a straight segment of a roadway or racecourse
1106,strip down,none
1107,strive for,none
1108,student account,none
1109,student handbook,none
1110,student union,none
1111,students' union,none
1112,subscription fee,none
1113,suffer from,none
1114,suggestion box,none
1115,suitable for,none
1116,summit conference,none
1117,summit meeting,none
1118,superior to,none
1119,surf the Internet,none
1120,sweep across,none
1121,swimming costume,none
1122,table tennis,none
1123,take a sip of,none
1124,take a stroll around,none
1125,take a ... view of,none
1126,take an ... view of,none
1127,take a ... view towards,none
1128,take an ... view towards,none
1129,take advantage of,none
1130,take ages,none
1131,take an interest in,none
1132,take ... as an example,none
1133,take care of,none
1134,take control of,none
1135,take down,n. (amateur wrestling) being brought to the mat from a standing position
1136,take ... into account,none
1137,take account of,none
1138,take ... into consideration,none
1139,take a heavy toll,none
1140,take a heavy toll on,none
1141,take its toll,none
1142,take its toll on,none
1143,take notes,none
1144,take off,"n. a departure; especially of airplanes
n. the initial ascent of an airplane as it becomes airborne"
1145,take one's breath away,none
1146,take one's temperature,none
1147,take out insurance,none
1148,take over one's business,none
1149,take pictures,none
1150,take pity on,none
1151,take responsibility for,none
1152,take the role of,none
1153,take unpaid leave,none
1154,take up,"n. any of various devices for reducing slack (as in a sewing machine) or taking up motion (as in a loom)
n. the action of taking up as by tightening or absorption or reeling in"
1155,talcum powder,none
1156,talk through,none
1157,tax revenue,none
1158,teaching facilities,none
1159,team spirit,none
1160,tear down,none
1161,telephone interview,none
1162,telephone rental,none
1163,tell ... from,none
1164,tend to,none
1165,thank goodness for,none
1166,thanks to,none
1167,the last thing ... want to do,none
1168,the best bet,none
1169,your best bet,none
1170,theme park,none
1171,through and through,none
1172,tick away,none
1173,tick by,none
1174,ticket office,none
1175,tie ... in,n a fastener that serves to join or connect
1176,tie ... in to,none
1177,tie ... in with,none
1178,time difference,none
1179,to be frank,none
1180,to be precise,none
1181,to one's surprise,none
1182,to some extent,none
1183,to some degree,none
1184,to sum up,none
1185,to the best of one's knowledge,none
1186,to the point,none
1187,tourist attraction,none
1188,tourist destination,none
1189,tow ... away,none
1190,track and field,none
1191,trade fair,none
1192,trade show,none
1193,trade ... in,n. an item of property that is given in part payment for a new one
1194,trade on,none
1195,trade up,none
1196,traffic congestion,none
1197,traffic jam,none
1198,traffic noise,none
1199,trail away,none
1200,trail off,none
1201,train of thought,none
1202,transfer to,none
1203,translate ... into,none
1204,transportation system,none
1205,travel agency,none
1206,travel light,none
1207,traveller's cheque,none
1208,traveller's check,none
1209,try on,n putting clothes on to see whether they fit
1210,try one's best to do,none
1211,try out,"n trying something to find out about it
n a test of the suitability of a performer"
1212,turn a blind eye,none
1213,turn a blind eye to,none
1214,turn down,n the act of refusing an offer
1215,turn off,"n. something causing antagonism or loss of interest
n. a side road where you can turn off"
1216,turn to,none
1217,turn up,n the lap consisting of a turned-back hem encircling the end of the sleeve or leg
1218,tutorial paper,none
1219,twice as many,none
1220,ultra-violet radiation,none
1221,uncertain about,none
1222,under pressure,none
1223,under stress,none
1224,undergraduate student,none
1225,union fee,none
1226,universal education,none
1227,up to,none
1228,upper class,a. occupying the highest socioeconomic position in a society
1229,upper limit,none
1230,vacant position,none
1231,vacuum flask,none
1232,various aspects of,none
1233,vary with,none
1234,vice versa,none
1235,virgin forest,none
1236,virtual reality,none
1237,vocational school,none
1238,voluntary organization,none
1239,volunteer to do,none
1240,wake up,none
1241,walk away with,none
1242,washing machine,none
1243,waste disposal,none
1244,watch for,none
1245,watch out,none
1246,water-soluble vitamin,none
1247,way off base,none
1248,website address,none
1249,wedding vow,none
1250,weigh the pros and cons,none
1251,weight lifting,"n. bodybuilding by exercise that involves lifting weights
v. lift weights"
1252,well done,s. (meat) cooked until there is no pink meat left inside
1253,wipe out,n. a spill in some sport (as a fall from a bicycle or while skiing or being capsized on a surfboard)
1254,with a population of,none
1255,with the help of,none
1256,without question,none
1257,word processing,none
1258,data processing,none
1259,work out,n the activity of exerting your muscles in various ways to keep fit
1260,work through,none
1261,working experience,none
1262,worth doing,none
1263,write back,none
1264,write up,none
1265,you name it,none
1266,youth hostel,none
