,3d,annotations
0,absorptive,capacity
1,academic,professionalization
2,access,control
3,accountability,
4,aco,
5,acquisitions,
6,active,discussion
7,actornetwork,theory
8,ad-hoc,
9,adaptation,
10,adaptive,monitoring
11,adaptive,selling
12,addiction,
13,adoption,
14,adoption,theory
15,advertisement,
16,advertising,
17,advertising,appeals
18,affective,trust
19,affordances,
20,agent-based,simulation
21,agility,
22,ahp,
23,aida,model
24,airport,service
25,alternative,attractiveness
26,altruism,
27,alumni,
28,ambient,communities
29,ambient,organization
30,analytics,
31,animation,
32,ann,
33,anomaly,detection
34,apology,
35,argument,adoption
36,art,marketing
37,artificial,intelligence
38,arts,services
39,as-a-service,
40,asia,
41,assessment,tool
42,asset,management
43,asymmetric,testing
44,athletes,
45,attitude,
46,attitudinal,loyalty
47,attribute,importance
48,attribution,theory
49,attrition,
50,audience,measurement
51,auditing,
52,augmentation,hypothesis
53,b2b,
54,b2b,marketing
55,b2b2c,marketing
56,banking,regulation
57,bankruptcy,
58,banks,
59,behavioral,loyalty
60,behavioral,operations
61,behavioral,patterns
62,best,practices
63,bibliographic,information
64,bibliography,
65,bibliometric,mapping
66,bibliometrics,
67,big,data
68,big-data,
69,big-five,model
70,bio-inspired,algorithms
71,blockchain,
72,bodily,experience
73,booking,intention
74,bootstrap,resampling
75,bootstrapping,
76,born,global
77,bourdieu,
78,bpm,
79,brand,
80,brand,attachment
81,brand,awareness
82,brand,co-creation
83,brand,commitment
84,brand,engagement
85,brand,equity
86,brand,identity
87,brand,importance
88,brand,loyalty
89,brand,management
90,brand,performance
91,branding,
92,brands,
93,broken,windows
94,browsing,experience
95,building,resources
96,business,alliances
97,business,concept
98,business,intelligence
99,business,involvement
100,business,marketing
101,business,model
102,business,models
103,business,networks
104,business,process
105,business,value
106,business-to-business,
107,business-to-business,branding
108,business-to-business,marketing
109,buyerseller,relationships
110,buyersupplier,relationships
111,c45,
112,c50,
113,cachaca,
114,calculative,trust
115,california,archaeology
116,canonical,correlation
117,capabilities,
118,capability-based,view
119,care,processes
120,caregivers,
121,case,studies
122,case,study
123,cdr,data
124,centrality,
125,ceo,
126,change,
127,channel,diversity
128,channel,effectiveness
129,channel,management
130,china,
131,chinese,consumer
132,chinese,text
133,churn,
134,churn,prediction
135,circular,economy
136,citation,analysis
137,city,engagement
138,classification,
139,client,profile
140,clinical,pathways
141,close,relationships
142,cloud,
143,cloud,computing
144,cloud,contracts
145,cloud,framework
146,cloud,industry
147,cloud,integration
148,cloud,manufacturing
149,cloud,platform
150,cloud,providers
151,cloud,provisioning
152,cloud,security
153,cloud,service
154,cloud,services
155,cloud,use
156,cloud,users
157,cloudsim,
158,cltv,
159,cluster,analysis
160,cluster,ensemble
161,clustering,
162,co-created,value
163,co-creation,
164,co-creation,practices
165,co-innovation,
166,co-location,traces
167,coding,
168,cognitive,literacy
169,cognitive,trust
170,cohesion,
171,collaboration,
172,collaboration,scenarios
173,collaboration,software
174,collaboration,systems
175,collective,interdependence
176,commercial,activities
177,commitment,
178,commitmenttrust,theory
179,communication,
180,communication,intention
181,community,detection
182,community,resilience
183,community,rewards
184,community,sponsor
185,companies,
186,compatibility,
187,competence,
188,competition,
189,competition,law
190,competitive,advantage
191,competitive,intelligence
192,competitive,responses
193,complaint,theme
194,complementarities,
195,complexity,
196,complexity,theory
197,comprehensibility,
198,computational,simulation
199,computer,anxiety
200,computer,selfefficacy
201,conceptual,framework
202,configural,analysis
203,conflict,
204,conflict,management
205,conflict,types
206,conjoint,analysis
207,connected,component
208,conservation,agriculture
209,conspicuous,consumption
210,construction,
211,consultancy,firm
212,consumer,
213,consumer,acceptance
214,consumer,behavior
215,consumer,behaviour
216,consumer,conformity
217,consumer,engagement
218,consumer,insights
219,consumer,involvement
220,consumer,perceptions
221,consumer,resonance
222,consumer-brand,identification
223,consumer-company,fit
224,consumer-generated,content
225,consumer-to-consumer,
226,consumers,
227,consumers,attitudes
228,content,analysis
229,content,analytics
230,content,pipeline
231,context,awareness
232,context,selection
233,context,sensitivity
234,contingency,theory
235,continuance,behavior
236,continuance,intention
237,contractual,
238,convergence,
239,convergent,validity
240,cooperative,assets
241,copyright,
242,core,technology
243,corporate,blog
244,corporate,culture
245,corporate,governance
246,corporate,identity
247,correlation,analysis
248,correspondence,analysis
249,cost,
250,country-specific,advantages
251,coupling,learning
252,coupling,relationship
253,creative,industries
254,creativity,
255,credibility,
256,credit,union
257,crew,communication
258,crewing,
259,criteria,
260,crm,
261,crm,adoption
262,crm,benefits
263,crm,systems
264,cropping,systems
265,cross-cultural,study
266,cross-fertilization,
267,cross-functional,integration
268,cross-paradigm,comparison
269,crowdfunding,
270,crowdfunding,platform
271,crowdsourcing,
272,cryptocurrency,
273,cscw,
274,cultural,analysis
275,cultural,differences
276,cultural,products
277,culture,
278,customer,
279,customer,acquisition
280,customer,behavior
281,customer,behaviors
282,customer,characteristics
283,customer,churn
284,customer,cooperation
285,customer,data
286,customer,demand
287,customer,development
288,customer,engagement
289,customer,equity
290,customer,experience
291,customer,feedback
292,customer,interface
293,customer,loyalty
294,customer,model
295,customer,privacy
296,customer,profiling
297,customer,profitability
298,customer,referral
299,customer,reviews
300,customer,satisfaction
301,customer,surveillance
302,customer,typology
303,customer-dominant,logic
304,customer-generated,content
305,customers,
306,cyber,security
307,cyber-crime,
308,cyber-physical,system
309,cyberphysical,system
310,cynicism,
311,data,analysis
312,data,analytics
313,data,clustering
314,data,consistency
315,data,exchange
316,data,lake
317,data,lifecycle
318,data,management
319,data,mining
320,data,quality
321,data,visualization
322,data-driven,framework
323,database,
324,databases,
325,deactivation,
326,decision,making
327,decision,process
328,decision,strategy
329,decision,tree
330,decision-making,
331,decision-making,process
332,deep,acting
333,delphi,
334,delphi,method
335,delphi,study
336,denbi,
337,dependence,
338,design,intent
339,design,process
340,design,science
341,desirability,
342,destination,card
343,destination,marketing
344,device,integration
345,differential,diagnosis
346,diffusion,process
347,digital,
348,digital,content
349,digital,coupons
350,digital,creativity
351,digital,library
352,digital,marketing
353,direct,marketing
354,discrete,choice
355,discriminant,analysis
356,disease,diagnosis
357,disengagement,
358,disorder,
359,dispatching,
360,disruptive,innovation
361,disruptive,technology
362,distributed,computing
363,doi,
364,doi,theory
365,donation,
366,dt,
367,dynamic,capabilities
368,dynamic,packaging
369,e-business,processes
370,e-commerce,
371,e-commerce,acceptance
372,e-communication,
373,e-crm,
374,e-culture,
375,e-entrepreneurial,organization
376,e-entrepreneurial,processes
377,e-entrepreneurship,
378,e-government,
379,e-healthcare,
380,e-maintenance,
381,e-procurement,
382,e-readiness,
383,e-selling,
384,e-service,quality
385,e-shopping,
386,e-wom,
387,e-word-of-mouth,
388,economic,performance
389,economical,skills
390,economics,perspective
391,ecosystem,
392,ecosystem,theory
393,ecrm,
394,ecrm,features
395,educacion,superior
396,effectiveness,
397,efficiency,
398,efficiency,motives
399,egg,donation
400,egovernment,
401,eis,implementation
402,elderly,
403,electricity,firms
404,electricity,markets
405,electronic,
406,electronic,banking
407,electronic,commerce
408,electronic,media
409,electronic,word-of-mouth
410,embedded,system
411,embodiment,
412,emergency,services
413,emerging,economies
414,emerging,market
415,emotion,detection
416,emotional,closeness
417,emotional,cues
418,emotional,exhaustion
419,emotional,labor
420,empirical,investigation
421,empirical,test
422,employee,performance
423,employee,proactivity
424,employee,relations
425,employees,
426,empowering,stakeholders
427,empowerment,
428,emr,
429,encounter,
430,energy,efficiency
431,engagement,
432,engagement,behavior
433,engagement,dimensions
434,engagement,strategy
435,entanglement,view
436,enterprise,
437,enterprise,20
438,enterprise,21
439,enterprise,simulation
440,enterprise,systems
441,entrepreneurial,orientation
442,entrepreneurship,
443,entropy,model
444,environmental,education
445,environmental,uncertainty
446,epidemic,model
447,epnet,
448,erp,20
449,erp,ii
450,erp,post-implementation
451,erp,systems
452,ethical,ideology
453,ethical,transgression
454,eu,
455,europe,
456,european,union
457,evaluation,
458,evaluation,framework
459,evaluation,study
460,event,conceptualization
461,event,study
462,event-stream,
463,events,
464,evolution,
465,evolutionary,computing
466,ewom,
467,exergames,
468,exhibitions,
469,experience,products
470,experiential,engagement
471,experiential,value
472,exporting,companies
473,extended,use
474,extrinsic,motivation
475,eye,tracking
476,face,
477,facebook,
478,facebook,marketing
479,facilitating,conditions
480,fan,engagement
481,feature,selection
482,field,analysis
483,financial,applications
484,financial,computing
485,financial,institutions
486,financial,outlook
487,financial,performance
488,financial,ratios
489,financial,services
490,fintech,
491,firm,growth
492,firm,performance
493,firm,strategies
494,firm,undervaluation
495,firm-specific,advantages
496,flight,deck
497,flight,simulator
498,flintstones,
499,flow,
500,flow,theory
501,food,retailer
502,forecasting,methods
503,forensic,accounting
504,formal,methods
505,framework,
506,framing,effect
507,fraud,
508,freight,
509,friendship,
510,fun,
511,funding,intention
512,future,challenges
513,future,intention
514,fuzzy,logic
515,fuzzy,sets
516,fuzzy-set,
517,galaxy,
518,gambling,
519,gamification,
520,gender,
521,gender,differences
522,gender,gap
523,gendered,self-construal
524,general,aviation
525,genetic,algorithms
526,gibrats,law
527,going,private
528,government,websites
529,graph,mining
530,greece,
531,group,buying
532,group,discovery
533,guanxi,
534,habitual,use
535,hadoop,
536,halal,
537,halford,mackinder
538,hdfs,
539,health,
540,health,care
541,health,communication
542,health,services
543,health,status
544,healthcare,
545,healthcare,quality
546,heritage,management
547,hierarchical,modeling
548,higher,education
549,historical,development
550,homophily,
551,horizon,report
552,horizontal,management
553,hospitality,
554,hospitality,industry
555,hotel,booking
556,hotel,chains
557,hotel,industry
558,hotel,management
559,hotel,marketing
560,hotel,performance
561,hotel,resources
562,hotel,sector
563,hotels,
564,hr,architecture
565,human,immersion
566,human,learning
567,human-based,computation
568,human-environment,interactions
569,humancomputer,interaction
570,humor,
571,hunter-gatherer,mobility
572,hybrid,
573,hybrid,algorithm
574,hybrid,approach
575,hybrid,integration
576,hybrid,organisation
577,ict,
578,ict,adoption
579,idealism,
580,ideation,
581,identity,management
582,identity,matching
583,identity,theft
584,iiie,
585,image,
586,image,analysis
587,image,forgery
588,image,tagging
589,imbalance,data
590,imbalanced,data
591,impact-asymmetry,analysis
592,implementation,
593,implementations,
594,impression,management
595,in-kind,reward
596,in-store,communications
597,independence,
598,india,
599,indicators,
600,individuals,
601,indoor,localization
602,industrial,buying
603,industrial,marketing
604,industrial,sector
605,industry,40
606,inequality,
607,influence,maximization
608,influence,measure
609,influence,processes
610,influential,users
611,informal,care
612,informal,interaction
613,informal,organisation
614,informatics-based,service
615,information,exchange
616,information,integration
617,information,processes
618,information,quality
619,information,search
620,information,security
621,information,sharing
622,information,sources
623,information,systems
624,information,technology
625,information,technology/systems
626,information,visualization
627,information-sharing,continuance
628,informational/emotional,support
629,infrastructure,
630,innovation,
631,innovation,adoption
632,innovation,assimilation
633,innovation,co-creation
634,innovation,projects
635,innovations,
636,innovative,management
637,innovative,performance
638,innovativeness,
639,institutional,isomorphism
640,institutional,logic
641,institutional,logics
642,institutional,pressure
643,institutional,theory
644,instrumental,variables
645,intangibility,
646,integrated,solution
647,integrated,solutions
648,integration,
649,intelligent,manufacturing
650,intention,
651,inter-action,intensity
652,inter-team,collaboration
653,inter-unit,projects
654,interaction,
655,interaction,learning
656,interdependence,
657,interdisciplinarity,
658,internalization,theory
659,international,
660,international,entrepreneurship
661,internet,
662,internet,marketing
663,internet,research
664,internet,shoppers
665,interoperability,
666,interorganizational,learning
667,interorganizational,trust
668,intra-firm,diffusion
669,intra-team,relationships
670,intrinsic,motivation
671,investment,
672,investments,
673,invisibility,learning
674,involvement,willingnes
675,iot,
676,iress,
677,is,continuance
678,is,success
679,is-continuance,theory
680,issue,labels
681,issues,
682,it,
683,it,acceptance
684,it,adoption
685,it,capability
686,it,competence
687,it,culture
688,it,governance
689,it,needs
690,it,strategy
691,italian,destination
692,job,outcomes
693,joint,venture
694,jordan,
695,just,culture
696,k-means,clustering
697,k-nearest,neighbor
698,kam,
699,kano,
700,kansei,engineering
701,kets,
702,kibs,
703,kinship,
704,knime,
705,knn,
706,knowledge,
707,knowledge,acquisition
708,knowledge,adoption
709,knowledge,contribution
710,knowledge,extraction
711,knowledge,fusion
712,knowledge,integration
713,knowledge,management
714,knowledge,requirements
715,knowledge,seeking
716,knowledge,sharing
717,knowledge,structures
718,knowledge-based,view
719,knwoledge,base
720,label,transfer
721,largescale,data
722,las,vegas
723,later,use
724,latinos,
725,lcp,segmentation
726,lean,pss
727,learning,analytics
728,learning,culture
729,learning,orientation
730,legitimacy,
731,lexica,creation
732,lift,
733,light-weight,semantics
734,linked,data
735,linkedin,
736,literature,review
737,literature,survey
738,live,streamer
739,live,streaming
740,load,balancing
741,local,government
742,location-based,services
743,logistic,regression
744,logit,model
745,long,tail
746,long-term,
747,longitudinal,studies
748,low-cost,carriers
749,loyalty,
750,loyalty,intentions
751,luxury,
752,m-commerce,
753,machine,learning
754,machine-to-machine,
755,macro-structures,
756,magic,lantern
757,make-to-xgrade,
758,malaysia,
759,management,
760,management,challenges
761,management,fashion
762,management,response
763,managerial,mindsets
764,manufacturing,
765,manufacturing,data
766,manufacturing,sector
767,manufacturing,systems
768,mapping,
769,mapreduce,
770,marker-based,
771,markerless,
772,market,intelligence
773,market,orientation
774,market,performance
775,market,research
776,market,segmentation
777,marketing,
778,marketing,capabilities
779,marketing,capability
780,marketing,ethics
781,marketing,organization
782,marketing,philosophy
783,marketing,strategy
784,marketing-r&d,interface
785,mass,customization
786,matchmaking,
787,mca,
788,measurement,
789,measurement,development
790,mechanism,design
791,medical,errors
792,medical,informatics
793,membership,cards
794,mergers,
795,meta-analysis,
796,meta-ethnography,
797,metadata,crosswalks
798,metadata,standards
799,micro,blog
800,micro-blogging,
801,microblogging,
802,microenterprises,
803,microfinance,
804,microscopy,
805,migrant,workers
806,migration,
807,mind/body,
808,misalignment,
809,missed,care
810,mission,drift
811,mixed,methodology
812,mixed-method,research
813,mobile,
814,mobile,advertising
815,mobile,app
816,mobile,application
817,mobile,applications
818,mobile,apps
819,mobile,banking
820,mobile,business
821,mobile,commerce
822,mobile,data
823,mobile,devices
824,mobile,diaries
825,mobile,marketing
826,mobile,promotions
827,mobile,services
828,mobile,targeting
829,model-based,engineering
830,modeling,
831,modelling,
832,monetary,reward
833,monitoring,
834,morphology,analysis
835,motivation,
836,mpp,
837,multi,devices
838,multi-attribute,evaluation
839,multi-channel,ecosystems
840,multi-modality,
841,multidimensional,modeling
842,multigenerational,marketing
843,multilevel,approach
844,multimedia,
845,multistage,approach
846,museum,guides
847,museums,
848,music,marketing
849,muslim,friendly
850,mutual,trust
851,mutual,understanding
852,n-rel,
853,naivasha-nakuru,basin
854,nanotechnology,
855,nearest,neighbor
856,necessity,
857,neighborhood,
858,netnography,
859,network,
860,network,airlines
861,network,analysis
862,network,analytics
863,network,applications
864,network,approach
865,network,capabilities
866,network,capability
867,network,data
868,network,externalities
869,network,features
870,network,resources
871,network-based,classifiers
872,networking,technologies
873,neural,network
874,new,technology
875,new,venture
876,news,stories
877,no-tillage,
878,non-iidness,learning
879,normalization,
880,norms,
881,nosql,
882,npd,
883,nps,
884,nursing,process
885,obsidian,conveyance
886,obsidian,sourcing
887,off-normal,condition
888,omni-channel,marketing
889,oneness,
890,online,
891,online,banking
892,online,communities
893,online,community
894,online,game
895,online,games
896,online,interactivity
897,online,marketing
898,online,privacy
899,online,profiling
900,online,retailing
901,online,review
902,online,reviews
903,online,sales
904,online,shop
905,online,shopping
906,online,transportation
907,online,visibility
908,ontology,
909,ontology,mining
910,ontop,
911,open,government
912,open,innovations
913,operational,efficiency
914,opinion,leadership
915,opinion,mining
916,optimization,
917,organization,
918,organization,re-design
919,organizational,culture
920,organizational,design
921,organizational,innovation
922,organizational,transformation
923,otas,
924,outreach,
925,overlap,communities
926,paleopathology,
927,paradigm-specific,macro-structures
928,participation,
929,participation,behavior
930,participation,engagement
931,partner,interface
932,partnership,
933,passenger,loyalty
934,passenger,satisfaction
935,passenger,trust
936,patient,care
937,pdm,
938,peace,
939,peer,effects
940,peer,participation
941,perceived,interactivity
942,perceived,risk
943,perceived,value
944,performance,
945,performance,evaluation
946,performance,measure
947,personality,
948,personality,prediction
949,personality,traits
950,personalization,
951,personalized,recommendation
952,persuasive,technology
953,pervasive,
954,pestel,
955,petri,nets
956,photo,analysis
957,pii,attributes
958,pipeline,
959,place,attachment
960,platform,
961,platform,capability
962,plm,
963,pls-sem,
964,plspm,
965,pokemon,go
966,policy,makers
967,popular,geography
968,port,research
969,post-adoption,intention
970,postal,operator
971,power,
972,power,source
973,practice,environments
974,practice,theory
975,practices,
976,predictive,analysis
977,predictive,analytics
978,predictive,modeling
979,predictive,models
980,prejudice,
981,prequalifying,checklist
982,prevention,
983,privacy,
984,privacy,concern
985,privacy,fatigue
986,privacy,preserving
987,privacy,risk
988,process,approach
989,process,improvement
990,process,logs
991,process,mining
992,process,oriented
993,process,performance
994,process,prioritization
995,processes,
996,product,avatar
997,product,design
998,product,diversity
999,product,information
1000,product,innovativeness
1001,product,network
1002,product,ontology
1003,product-enabled,services
1004,product-service,system
1005,production,economics
1006,professional,sales
1007,profit,
1008,programming,environments
1009,project,management
1010,project,teams
1011,proportionality,
1012,prosumption,
1013,psychological,cost
1014,psychosis,
1015,public,data
1016,public,maintenance
1017,public,perception
1018,public,procurement
1019,public,self-consciousness
1020,purchase,behavior
1021,purchase,intention
1022,pushpullmooring,
1023,q-gram,indexing
1024,qos,prediction
1025,qualitative,methods
1026,qualitative,study
1027,querying,
1028,r&d,management/assessment
1029,r&d-marketing,
1030,r-project,
1031,r2rml,
1032,racism,
1033,random,forests
1034,rankings,
1035,rare,events
1036,rational,use
1037,rdf,
1038,real-time,
1039,reciprocal,commitment
1040,reciprocal,favor
1041,recommendations,
1042,region,duplication
1043,regret,
1044,regulatory,focus
1045,relational,classification
1046,relational,classifiers
1047,relational,governance
1048,relational,identification
1049,relational,interdependence
1050,relational,selling
1051,relational,view
1052,relational,website
1053,relationship,
1054,relationship,capital
1055,relationship,commitment
1056,relationship,harmony
1057,relationship,management
1058,relationship,marketing
1059,relationship,modeling
1060,relationship,quality
1061,relativism,
1062,relevance,
1063,reliable,transmission
1064,reporting,culture
1065,repositories,
1066,reproductive,technology
1067,repurchase,intention
1068,reputation,
1069,reputation,management
1070,reputation,mechanism
1071,reputation,monitoring
1072,research,articles
1073,research,framework
1074,resilience,
1075,resistance,
1076,resource,allocation
1077,resource,commitment
1078,resource,generator
1079,resource,integration
1080,resource,mobilisation
1081,resource,pooling
1082,resource-based,theory
1083,resource-based,view
1084,respondents,
1085,response,modeling
1086,retail,
1087,retailing,
1088,retention,
1089,return,migration
1090,reuse,
1091,revealed-stated,preferences
1092,revenue,management
1093,reverse,logistics
1094,review,
1095,review,paper
1096,review,valence
1097,reviews,
1098,rfid,
1099,rfid,technology
1100,rfm,
1101,riesgo,
1102,risk,
1103,risk,management
1104,risk-return,
1105,rock-art,
1106,rooms,revenue
1107,rule,extraction
1108,rule,induction
1109,s-o-r,model
1110,safety,culture
1111,sales,management
1112,sales,performance
1113,sales,technology
1114,salesperson,
1115,salesperson,behaviors
1116,salesperson,performance
1117,satisfaction,
1118,scala,
1119,scale,development
1120,scan,function
1121,scanning,behavior
1122,schizophrenia,
1123,schooling,returns
1124,scrm,adoption
1125,scurvy,
1126,sd,logic
1127,sdlc,
1128,seaport,logistics
1129,search,engine
1130,searching,efforts
1131,seasonal,pattern
1132,security,
1133,security,culture
1134,security,risk
1135,segmentation,
1136,seismic,risk
1137,self-brand,connection
1138,self-brand,connections
1139,self-concept,
1140,self-construal,
1141,self-determination,theory
1142,self-disclosure,
1143,self-employment,
1144,self-presentation,
1145,self-reports,
1146,selling,
1147,selling,performance
1148,sem-neural,network
1149,semantic,analysis
1150,semantic,representation
1151,semantic,space
1152,semantic,technology
1153,semantic,web
1154,semantics,
1155,sensitivity,analysis
1156,sensor,
1157,sentiment,
1158,sentiment,analysis
1159,sentiment,classification
1160,service,
1161,service,advantage
1162,service,applications
1163,service,composition
1164,service,design
1165,service,evaluation
1166,service,failure
1167,service,innovation
1168,service,management
1169,service,marketing
1170,service,quality
1171,service,recovery
1172,service,science
1173,service,trustworthiness
1174,service-dominant,logic
1175,services,
1176,servitization,
1177,shapley,value
1178,sharing,economy
1179,signaling,
1180,situation,awareness
1181,situational,cues
1182,skill,gap
1183,skos,
1184,small-to-medium,enterprises
1185,smart,agriculture
1186,smart,card
1187,smart,city
1188,smart,cloud
1189,smart,contracts
1190,smart,grid
1191,smart,grids
1192,smart,manufacturing
1193,smart,object
1194,smart,phones
1195,smart,tourism
1196,smartphone,
1197,smes,
1198,sns,adoption
1199,social,analytics
1200,social,benefits
1201,social,bots
1202,social,capital
1203,social,change
1204,social,commerce
1205,social,competency
1206,social,computing
1207,social,conflict
1208,social,crm
1209,social,discounting
1210,social,effects
1211,social,image
1212,social,influence
1213,social,manufacturing
1214,social,media
1215,social,network
1216,social,networking
1217,social,networks
1218,social,performance
1219,social,platform
1220,social,presence
1221,social,recommendations
1222,social,selling
1223,social,sensor
1224,social,software
1225,social,support
1226,social,sustainability
1227,social-media,networking
1228,socialization,
1229,socialnetwork,api
1230,socio-technical,framework
1231,software,
1232,software,architecture
1233,software,development
1234,software,ecosystem
1235,software,game
1236,software,industry
1237,software,policy
1238,solution,network
1239,solution,provision
1240,sor,model
1241,source,credibility
1242,south,korea
1243,southwest,
1244,sparql,endpoint
1245,spatio-temporal,prediction
1246,spi,success
1247,sports,
1248,stages-of-growth,
1249,stakeholder,management
1250,stakeholder,orientation
1251,stakeholder,relations
1252,stakeholder,theory
1253,standardisation,
1254,start-up,business
1255,startup-driven,innovation
1256,startups,
1257,stated,preferences
1258,status,
1259,stickiness,
1260,stimulusorganismresponse,paradigm
1261,strategic,flexibility
1262,subgroup,identification
1263,subjective,norm
1264,subjective,norms
1265,subjective,well-being
1266,subjective,wellbeing
1267,supplier,performance
1268,supply,chain
1269,support,bounds
1270,surface,acting
1271,surveillance,
1272,survey,
1273,survey,errors
1274,survey,research
1275,survey,validity
1276,surveys,
1277,survival,analysis
1278,sustainability,
1279,sustainable,development
1280,sustainable,innovation
1281,svm,
1282,swarm,intelligence
1283,swift,guanxi
1284,system,design
1285,system,gmm
1286,system,quality
1287,systematic,review
1288,systemic,approach
1289,tablet,
1290,talent,management
1291,tam,
1292,tam,model
1293,taobao,
1294,targeting,
1295,targeting,strategies
1296,task,performance
1297,task-technology,fit
1298,teaching,microeconomics
1299,teachinglearning-based,optimization
1300,team,identification
1301,team,work
1302,teamness,
1303,techniques,
1304,technological,change
1305,technological,characteristics
1306,technological,environment
1307,technological,opportunism
1308,technological,paradigm
1309,technology,
1310,technology,acceptance
1311,technology,addiction
1312,technology,adoption
1313,technology,forecasting
1314,technology,industry
1315,technology,infusion
1316,technology,innovation
1317,technology,law
1318,technology,oriented
1319,technology,roadmapping
1320,technology,sourcing
1321,technology-organization-environment-process,
1322,technostress,
1323,teen,pregnancy
1324,telecommunication,
1325,telecommunication,data
1326,telecommunications,firms
1327,television,viewing
1328,temporal,data
1329,temporal,trend
1330,tenets,
1331,tepehuan,
1332,territoriality,
1333,text,analytics
1334,text,messaging
1335,text,mining
1336,theoretical,extension
1337,theory,building
1338,theory,construction
1339,theory,integration
1340,three-layer,structure
1341,tie,strength
1342,time,interval
1343,time,orientation
1344,time,pressure
1345,time,series
1346,tipping,
1347,toe,
1348,toe,framework
1349,tools,
1350,topic,model
1351,topic,modelling
1352,topsis,
1353,tourism,
1354,tourism,alliances
1355,tourist,destination
1356,tourist,kit
1357,trailer,
1358,trains,
1359,transcendence,
1360,transfer,learning
1361,transformational,leadership
1362,transparency,
1363,travel,
1364,treatment,
1365,trucking,
1366,trust,
1367,trust,aco
1368,trust,perception
1369,trust,process
1370,turkey,
1371,twitter,
1372,two-sided,market
1373,two-way,communication
1374,typology,
1375,ubiquitous,computing
1376,ubiquitous,manufacturing
1377,ucc,
1378,ugc,
1379,uncertain,samples
1380,uncertainties,
1381,unit,non-response
1382,usa,
1383,usability,
1384,usage,patterns
1385,usage-based-insurance,
1386,use,
1387,user,communities
1388,user,engagement
1389,user,entrepreneur
1390,user,innovation
1391,user,integration
1392,user,profiles
1393,user,roles
1394,user,satisfaction
1395,user-created,content
1396,user-generated,content
1397,user-generated,media
1398,user-generated-content,
1399,users,viewpoint
1400,utaut2,
1401,utilisationimportance,matrix
1402,v-commerce,
1403,valence,
1404,value,capture
1405,value,co-creation
1406,value,creation
1407,value,leverage
1408,value,protection
1409,value,stream
1410,value,use
1411,value-creation,
1412,value-discover,
1413,value-in-context,
1414,value-realization,
1415,vehicular,networks
1416,video,
1417,video,game
1418,violence,
1419,virtual,community
1420,virtual,machine
1421,virtual,mirror
1422,virtual,world
1423,visual,geography
1424,visualization,
1425,voll,pricing
1426,waiting,time
1427,waste,
1428,web,20
1429,web,frameworks
1430,web,mining
1431,web,rule
1432,web,services
1433,web-based,integration
1434,web-based,self-service
1435,web-based,surveys
1436,website,personalization
1437,wellbeing,
1438,word,tree
1439,word-of-mouth,
1440,word-of-mouth,wom
1441,workflow,
1442,workload,
1443,wrapper,technologies
1444,xcloudx,
1445,zernike,moment
