,як,as
0,Я,I
1,його,his
2,що,that
3,він,he
4,було,was
5,для,for
6,на,on
7,є,are
8,еякі,with
9,вони,they
10,бути,be
11,у,at
12,один,one
13,мати,have
14,це,this
15,від,from
16,по,by
17,гаряча,hot
18,слово,word
19,але,but
20,що,what
21,деякі,some
22,вогонь,is
23,це,it
24,ви,you
25,або,or
26,було,had
27,план,the
28,и,of
29,до,to
30,і,and
31,кішка,a
32,в,in
33,ми,we
34,може,can
35,чере,out
36,другий,other
37,були,were
38,які,which
39,зробити,do
40,їх,their
41,час,time
42,якщо,if
43,буде,will
44,як,how
45,аначений,said
46,вона,an
47,кожен,each
48,скаати,tell
49,робить,does
50,набір,set
51,три,three
52,хотіти,want
53,повітря,air
54,добре,well
55,також,also
56,грати,play
57,невеликої,small
58,кінець,end
59,ставити,put
60,додому,home
61,читати,read
62,рука,hand
63,порт,port
64,великий,large
65,аклинань,spell
66,додавати,add
67,навіть,even
68,емля,land
69,тут,here
70,повинні,must
71,великий,big
72,високий,high
73,таких,such
74,слідувати,follow
75,акт,act
76,чому,why
77,спитаєте,ask
78,чоловіки,men
79,мінення,change
80,пішов,went
81,світло,light
82,вид,kind
83,від,off
84,потрібно,need
85,будинок,house
86,картинка,picture
87,спробуйте,try
88,нам,us
89,ову,again
90,тварин,animal
91,точка,point
92,мать,mother
93,світ,world
94,рядом,near
95,будувати,build
96,самостійно,self
97,емля,earth
98,батько,father
99,будь,any
100,новий,new
101,робота,work
102,частина,part
103,приймати,take
104,отримувати,get
105,місце,place
106,зробив,made
107,жити,live
108,де,where
109,після,after
110,назад,back
111,трохи,little
112,тільки,only
113,круглий,round
114,людина,man
115,рік,year
116,прийшли,came
117,шоу,show
118,кожен,every
119,добре,good
120,мене,me
121,давати,give
122,наш,our
123,під,under
124,ім’я,name
125,дуже,very
126,через,through
127,просто,just
128,форма,form
129,вирок,sentence
130,великий,great
131,думаю,think
132,сказати,say
133,допомогти,help
134,низький,low
135,лінія,line
136,відрізняються,differ
137,поворот,turn
138,причиною,cause
139,багато,much
140,значить,mean
141,до,before
142,хід,move
143,право,right
144,хлопчик,boy
145,старий,old
146,занадто,too
147,те ж саме,same
148,вона,she
149,всі,all
150,є,there
151,коли,when
152,до,up
153,використання,use
154,ваш,your
155,спосіб,way
156,про це,about
157,багато,many
158,потім,then
159,їх,them
160,написати,write
161,б,would
162,подібно,like
163,так,so
164,це,these
165,її,her
166,довго,long
167,робити,make
168,річ,thing
169,подивитися,see
170,його,him
171,два,two
172,має,has
173,дивитися,look
174,ще,more
175,день,day
176,міг,could
177,йти,go
178,приходять,come
179,зробив,did
180,число,number
181,звук,sound
182,немає,no
183,найбільш,most
184,люди,people
185,мій,my
186,над,over
187,знаю,know
188,води,water
189,ніж,than
190,Телефонуйте,call
191,перший,first
192,хто,who
193,може,may
194,вниз,down
195,сторона,side
196,був,been
197,зараз,now
198,знайти,find
199,керівник,head
200,стояти,stand
201,власний,own
202,сторінка,page
203,повинен,should
204,країна,country
205,знайдено,found
206,відповідь,answer
207,школа,school
208,зростати,grow
209,дослідження,study
210,ще,still
211,дізнатися,learn
212,завод,plant
213,кришка,cover
214,їжа,food
215,НД,sun
216,чотири,four
217,між,between
218,стан,state
219,тримати,keep
220,очей,eye
221,ніколи,never
222,останній,last
223,нехай,let
224,думка,thought
225,місто,city
226,дерево,tree
227,перетинають,cross
228,ферма,farm
229,важко,hard
230,початок,start
231,міць,might
232,історія,story
233,пила,saw
234,далеко,far
235,морі,sea
236,залучити,draw
237,зліва,left
238,пізно,late
239,пробіг,run
240,в той час як,while
241,натисніть,press
242,близько,close
243,ніч,night
244,реальний,real
245,життя,life
246,кілька,few
247,на північ,north
248,книга,book
249,нести,carry
250,взяв,took
251,наука,science
252,з’їсти,eat
253,номер,room
254,друг,friend
255,почав,began
256,ідея,idea
257,риба,fish
258,гора,mountain
259,зупинити,stop
260,раз,once
261,база,base
262,чути,hear
263,кінь,horse
264,вирізати,cut
265,звичайно,sure
266,дивитися,watch
267,колір,color
268,особа,face
269,дерево,wood
270,головна,main
271,відкритий,open
272,здається,seem
273,разом,together
274,наступний,next
275,білий,white
276,діти,children
277,починати,begin
278,отримав,got
279,ходити,walk
280,приклад,example
281,полегшити,ease
282,папір,paper
283,група,group
284,завжди,always
285,музика,music
286,ті,those
287,як,both
288,знак,mark
289,часто,often
290,лист,letter
291,до,until
292,км,mile
293,річка,river
294,автомобіль,car
295,ноги,feet
296,догляд,care
297,другий,second
298,достатньо,enough
299,рівнина,plain
300,дівчина,girl
301,зазвичай,usual
302,молодий,young
303,готовий,ready
304,вище,above
305,коли-небудь,ever
306,червоний,red
307,список,list
308,хоча,though
309,відчувати,feel
310,Обговорення,talk
311,птах,bird
312,скоро,soon
313,тіло,body
314,собака,dog
315,сім’я,family
316,прямій,direct
317,поза,pose
318,залишити,leave
319,пісня,song
320,виміру,measure
321,двері,door
322,продукт,product
323,чорний,black
324,короткий,short
325,цифра,numeral
326,клас,class
327,вітер,wind
328,питання,question
329,станеться,happen
330,повний,complete
331,корабель,ship
332,площа,area
333,половина,half
334,рок,rock
335,порядок,order
336,вогонь,fire
337,південно,south
338,проблема,problem
339,шт,piece
340,сказав,told
341,знав,knew
342,пройти,pass
343,до,since
344,кращих,top
345,вся,whole
346,король,king
347,вулиця,street
348,дюйм,inch
349,помножити,multiply
350,нічого,nothing
351,звичайно,course
352,залишатися,stay
353,колеса,wheel
354,повний,full
355,сила,force
356,синій,blue
357,об’єкт,object
358,"вирішити,",decide
359,поверхню,surface
360,глибоко,deep
361,місяць,moon
362,острів,island
363,фут,foot
364,система,system
365,зайнятий,busy
366,тест,test
367,запис,record
368,човен,boat
369,загальна,common
370,золото,gold
371,можливо,possible
372,літак,plane
373,замість нього,stead
374,сухий,dry
375,цікаво,wonder
376,сміх,laugh
377,тис,thousand
378,назад,ago
379,побіг,ran
380,перевірити,check
381,гра,game
382,форма,shape
383,прирівнювати,equate
384,гаряча,hot
385,міс,miss
386,приніс,brought
387,тепло,heat
388,сніг,snow
389,шини,tire
390,принести,bring
391,да,yes
392,віддалена,distant
393,заповнювати,fill
394,схід,east
395,фарба,paint
396,мову,language
397,серед,among
398,блок,unit
399,потужність,power
400,місто,town
401,відмінно,fine
402,певний,certain
403,літати,fly
404,падати,fall
405,привести,lead
406,крик,cry
407,темно-,dark
408,машина,machine
409,примітка,note
410,чекати,wait
411,план,plan
412,фігура,figure
413,зірка,star
414,коробка,box
415,іменник,noun
416,поле,field
417,інші,rest
418,правильно,correct
419,стані,able
420,фунт,pound
421,зроблено,done
422,краса,beauty
423,привод,drive
424,стояв,stood
425,містити,contain
426,передні,front
427,вчити,teach
428,тиждень,week
429,остаточний,final
430,дав,gave
431,зелений,green
432,ой,oh
433,швидко,quick
434,розвивати,develop
435,океан,ocean
436,теплий,warm
437,безкоштовно,free
438,хвилин,minute
439,сильний,strong
440,спеціальна,special
441,розум,mind
442,за,behind
443,ясно,clear
444,хвіст,tail
445,виробляти,produce
446,факт,fact
447,простір,space
448,чув,heard
449,краще,best
450,годину,hour
451,краще,better
452,правда,true
453,під,during
454,сто,hundred
455,п’ять,five
456,пам’ятаю,remember
457,крок,step
458,рано,early
459,утримуйте,hold
460,запад,west
461,земля,ground
462,інтерес,interest
463,досягати,reach
464,швидко,fast
465,дієслово,verb
466,співати,sing
467,слухати,listen
468,шість,six
469,стіл,table
470,поїздки,travel
471,менше,less
472,ранок,morning
473,десять,ten
474,простий,simple
475,кілька,several
476,гласний,vowel
477,до,toward
478,війна,war
479,закласти,lay
480,проти,against
481,шаблон,pattern
482,повільно,slow
483,центр,center
484,люблю,love
485,людина,person
486,гроші,money
487,служити,serve
488,з’являються,appear
489,дорога,road
490,карта,map
491,дощ,rain
492,правило,rule
493,управляти,govern
494,тягнути,pull
495,холодно,cold
496,сповіщення,notice
497,голос,voice
498,енергія,energy
499,охота,hunt
500,"ймовірно,",probable
501,ліжко,bed
502,брат,brother
503,яйце,egg
504,поїздка,ride
505,клітин,cell
506,"вважають,",believe
507,"можливо,",perhaps
508,вибирати,pick
509,раптове,sudden
510,вважати,count
511,квадратний,square
512,Причина,reason
513,довжина,length
514,представляють,represent
515,мистецтво,art
516,Тема,subject
517,область,region
518,розмір,size
519,варіюватися,vary
520,врегулювати,settle
521,говорити,speak
522,вага,weight
523,загальний,general
524,лід,ice
525,справа,matter
526,круг,circle
527,пара,pair
528,включати,include
529,ділити,divide
530,склад,syllable
531,почував,felt
532,Гранд,grand
533,м’яч,ball
534,ще,yet
535,хвиля,wave
536,падіння,drop
537,серце,heart
538,ранку,am
539,присутній,present
540,важкий,heavy
541,танець,dance
542,двигун,engine
543,положення,position
544,рука,arm
545,широкий,wide
546,вітрило,sail
547,матеріал,material
548,частка,fraction
549,ліс,forest
550,сидіти,sit
551,гонка,race
552,вікно,window
553,магазин,store
554,літо,summer
555,поїзд,train
556,сон,sleep
557,довести,prove
558,самотній,lone
559,нога,leg
560,вправа,exercise
561,стіна,wall
562,улов,catch
563,кріплення,mount
564,хочете,wish
565,небо,sky
566,дошка,board
567,радість,joy
568,зима,winter
569,Субота,sat
570,написано,written
571,дикий,wild
572,інструмент,instrument
573,зберігається,kept
574,скло,glass
575,трава,grass
576,корова,cow
577,робота,job
578,край,edge
579,знак,sign
580,візит,visit
581,мимо,past
582,м’який,soft
583,весело,fun
584,яскравий,bright
585,ається,gas
586,погода,weather
587,місяць,month
588,млн,million
589,нести,bear
590,оздоблення,finish
591,щасливі,happy
592,сподіватися,hope
593,квітка,flower
594,одягнути,clothe
595,дивно,strange
596,пішов,gone
597,торгівля,trade
598,мелодія,melody
599,поїздка,trip
600,офіс,office
601,отримувати,receive
602,рядок,row
603,рот,mouth
604,точна,exact
605,символ,symbol
606,померти,die
607,мірою,least
608,біда,trouble
609,крик,shout
610,крім,except
611,написав,wrote
612,насіння,seed
613,тон,tone
614,приєднатися,join
615,запропонувати,suggest
616,чистий,clean
617,перерву,break
618,леді,lady
619,двір,yard
620,підніматися,rise
621,погано,bad
622,удар,blow
623,масло,oil
624,кров,blood
625,торкайтеся,touch
626,виросла,grew
627,цент,cent
628,плутати,mix
629,команда,team
630,провід,wire
631,вартість,cost
632,втрачений,lost
633,коричневий,brown
634,носити,wear
635,сад,garden
636,дорівнюють,equal
637,відправлено,sent
638,вибрати,choose
639,впав,fell
640,відповідати,fit
641,текти,flow
642,ярмарок,fair
643,банк,bank
644,збирати,collect
645,економити,save
646,контроль,control
647,десяткової,decimal
648,вухо,ear
649,ще,else
650,цілком,quite
651,зламав,broke
652,справа,case
653,середній,middle
654,вбити,kill
655,син,son
656,озеро,lake
657,момент,moment
658,шкала,scale
659,голосно,loud
660,весна,spring
661,спостерігати,observe
662,дитина,child
663,прямо,straight
664,приголосний,consonant
665,нація,nation
666,словник,dictionary
667,молоко,milk
668,швидкість,speed
669,метод,method
670,орган,organ
671,платити,pay
672,вік,age
673,розділ,section
674,плаття,dress
675,хмара,cloud
676,сюрприз,surprise
677,тихо,quiet
678,камінь,stone
679,крихітний,tiny
680,підйом,climb
681,прохолодно,cool
682,дизайн,design
683,бідних,poor
684,багато,lot
685,експеримент,experiment
686,від низу до,bottom
687,ключ,key
688,аліза,iron
689,один,single
690,палиця,stick
691,плоским,flat
692,двадцять,twenty
693,шкіра,skin
694,усмішка,smile
695,складка,crease
696,отвір,hole
697,стрибати,jump
698,дитина,baby
699,вісім,eight
700,деревня,village
701,задоволення,meet
702,корінь,root
703,купити,buy
704,підняти,raise
705,вирішити,solve
706,металу,metal
707,чи,whether
708,поштовх,push
709,сім,seven
710,пункт,paragraph
711,третя,third
712,повинен,shall
713,ручні,held
714,волосся,hair
715,описати,describe
716,повар,cook
717,поверх,floor
718,небудь,either
719,результат,result
720,спалити,burn
721,пагорб,hill
722,сейф,safe
723,кішка,cat
724,століття,century
725,розглядати,consider
726,Тип,type
727,акон,law
728,трохи,bit
729,узбережжі,coast
730,копія,copy
731,фраза,phrase
732,мовчання,silent
733,високий,tall
734,пісок,sand
735,грунту,soil
736,рулон,roll
737,температура,temperature
738,палець,finger
739,промисловість,industry
740,начення,value
741,боротьба,fight
742,брехня,lie
743,бити,beat
744,порушувати,excite
745,природний,natural
746,вид,view
747,сенс,sense
748,капітал,capital
749,буде,won’t
750,стілець,chair
751,небезпека,danger
752,фрукти,fruit
753,багаті,rich
754,товщиною,thick
755,солдат,soldier
756,процес,process
757,працювати,operate
758,практика,practice
759,окремий,separate
760,важкий,difficult
761,лікар,doctor
762,будь ласка,please
763,захисту,protect
764,опівдні,noon
765,урожай,crop
766,сучасний,modern
767,елемент,element
768,хіт,hit
769,студент,student
770,кут,corner
771,партія,party
772,харчування,supply
773,якого,whose
774,знайти,locate
775,кільце,ring
776,характер,character
777,комаха,insect
778,спійманий,caught
779,період,period
780,вказують,indicate
781,радіо,radio
782,спицями,spoke
783,атом,atom
784,людина,human
785,Історія,history
786,ефект,effect
787,електрична,electric
788,очікувати,expect
789,кістка,bone
790,залізничні,rail
791,уявіть,imagine
792,забезпечити,provide
793,погоджуватися,agree
794,таким чином,thus
795,ніжний,gentle
796,жінка,woman
797,капітан,captain
798,думаю,guess
799,необхідно,necessary
800,різке,sharp
801,крило,wing
802,створити,create
803,сусід,neighbor
804,прання,wash
805,летюча миша,bat
806,жуватися,rather
807,натовп,crowd
808,кукурудза,corn
809,порівняти,compare
810,вірш,poem
811,рядок,string
812,дзвін,bell
813,залежить,depend
814,м’ясо,meat
815,руб,rub
816,трубка,tube
817,відомий,famous
818,долар,dollar
819,потік,stream
820,страх,fear
821,ору,sight
822,тонкий,thin
823,трикутник,triangle
824,планета,planet
825,поспішати,hurry
826,головний,chief
827,колонія,colony
828,годинник,clock
829,шахта,mine
830,галстук,tie
831,вводити,enter
832,основним,major
833,свіжий,fresh
834,пошук,search
835,послати,send
836,жовтий,yellow
837,пістолет,gun
838,дозволяти,allow
839,друк,print
840,мертвих,dead
841,пляма,spot
842,пустеля,desert
843,костюм,suit
844,ток,current
845,ліфт,lift
846,виросла,rose
847,приїхати,arrive
848,майстер,master
849,трек,track
850,батько,parent
851,берег,shore
852,поділ,division
853,лист,sheet
854,речовина,substance
855,користь,favor
856,підключення,connect
857,повідомлення,post
858,провести,spend
859,акорд,chord
860,жиру,fat
861,радий,glad
862,оригінальний,original
863,частка,share
864,станція,station
865,папа,dad
866,хліб,bread
867,зарядки,charge
868,власне,proper
869,бар,bar
870,пропозиція,offer
871,сегмент,segment
872,раб,slave
873,качка,duck
874,миттєве,instant
875,ринок,market
876,ступінь,degree
877,аповнення,populate
878,курча,chick
879,дорогий,dear
880,ворог,enemy
881,відповісти,reply
882,напій,drink
883,відбуваються,occur
884,підтримка,support
885,промову,speech
886,природа,nature
887,діапазон,range
888,пар,steam
889,рух,motion
890,шлях,path
891,рідини,liquid
892,увійти,log
893,означало,meant
894,фактор,quotient
895,зуби,teeth
896,оболонка,shell
897,шия,neck
898,кисень,oxygen
899,цукор,sugar
900,смерть,death
901,досить,pretty
902,вміння,skill
903,жінки,women
904,сезон,season
905,рішення,solution
906,Магнит,magnet
907,срібло,silver
908,спасибі,thank
909,філія,branch
910,матч,match
911,суфікс,suffix
912,особливо,especially
913,рис,fig
914,боюся,afraid
915,величезний,huge
916,сестра,sister
917,сталь,steel
918,обговорювати,discuss
919,вперед,forward
920,аналогічний,similar
921,направляти,guide
922,досвід,experience
923,рахунок,score
924,яблуко,apple
925,куплений,bought
926,призвело,led
927,крок,pitch
928,пальто,coat
929,маса,mass
930,карта,card
931,смуга,band
932,мотузка,rope
933,ковзання,slip
934,виграти,win
935,мріяти,dream
936,вечір,evening
937,стан,condition
938,подача,feed
939,інструмент,tool
940,спільну,total
941,основний,basic
942,нюх,smell
943,Долина,valley
944,ні,nor
945,двічі,double
946,сидіння,seat
947,продовжити,continue
948,блок,block
949,діаграма,chart
950,капелюх,hat
951,продати,sell
952,успіх,success
953,компанія,company
954,відняти,subtract
955,захід,event
956,конкретний,particular
957,угода,deal
958,плавати,swim
959,термін,term
960,навпроти,opposite
961,дружина,wife
962,взуття,shoe
963,плече,shoulder
964,поширення,spread
965,організувати,arrange
966,табір,camp
967,винайти,invent
968,бавовна,cotton
969,Дата народження:,born
970,визначити,determine
971,кварта,quart
972,дев’ять,nine
973,вантажівка,truck
974,шум,noise
975,рівень,level
976,шанс,chance
977,збирати,gather
978,магазин,shop
979,протяг,stretch
980,кидати,throw
981,блиск,shine
982,нерухомість,property
983,колонка,column
984,молекула,molecule
985,вибирати,select
986,неправильно,wrong
987,сірий,gray
988,повторення,repeat
989,вимагати,require
990,широкий,broad
991,готувати,prepare
992,сіль,salt
993,ніс,nose
994,множинне,plural
995,гнів,anger
996,претензії,claim
997,континент,continent
