,کے طور پر,as
0,میں,I
1,ان,his
2,کہ,that
3,وہ,he
4,تھا,was
5,کے لئے,for
6,پر,on
7,ہیں,are
8,کے ساتھ,with
9,وہ,they
10,ہو,be
11,میں,at
12,ایک,one
13,ہے,have
14,اس,this
15,سے,from
16,کی طرف سے,by
17,گرم، شہوت انگیز,hot
18,لفظ,word
19,لیکن,but
20,کیا,what
21,کچھ,some
22,ہے,is
23,یہ,it
24,آپ,you
25,یا,or
26,تھا,had
27,فہرست,the
28,کے,of
29,کرنے کے لئے,to
30,اور,and
31,ایک,a
32,میں,in
33,ہم,we
34,کر سکتے ہیں,can
35,باہر,out
36,دیگر,other
37,تھے,were
38,جس,which
39,کر,do
40,ان,their
41,وقت,time
42,اگر,if
43,گا,will
44,کس طرح,how
45,انہوں نے کہا کہ,said
46,ایک,an
47,ہر ایک,each
48,بتانا,tell
49,کرتا ہے,does
50,سیٹ,set
51,تین,three
52,چاہتے ہیں,want
53,ہوا,air
54,اچھی طرح سے,well
55,بھی,also
56,ادا,play
57,چھوٹے,small
58,آخر,end
59,ڈال,put
60,گھر,home
61,پڑھیں,read
62,ہاتھ,hand
63,پورٹ,port
64,بڑے,large
65,جادو,spell
66,شامل,add
67,بھی,even
68,ملک,land
69,یہاں,here
70,ضروری,must
71,بڑا,big
72,اعلی,high
73,اس طرح,such
74,فالو کریں,follow
75,ایکٹ,act
76,کیوں,why
77,پوچھنا,ask
78,مردوں کے,men
79,تبدیلی,change
80,گیا,went
81,روشنی,light
82,قسم,kind
83,بند,off
84,ضرورت,need
85,گھر,house
86,تصویر,picture
87,کوشش,try
88,ہم,us
89,پھر,again
90,جانور,animal
91,نقطہ,point
92,ماں,mother
93,دنیا,world
94,قریب,near
95,تعمیر,build
96,خود,self
97,زمین,earth
98,والد,father
99,کوئی بھی,any
100,نئے,new
101,کام,work
102,حصہ,part
103,لے,take
104,حاصل,get
105,جگہ,place
106,بنا,made
107,رہتے,live
108,جہاں,where
109,کے بعد,after
110,واپس,back
111,تھوڑا,little
112,صرف,only
113,گول,round
114,آدمی,man
115,سال,year
116,آیا,came
117,شو,show
118,ہر,every
119,اچھا,good
120,مجھے,me
121,دے,give
122,ہمارے,our
123,کے تحت,under
124,نام,name
125,بہت,very
126,کے ذریعے,through
127,صرف,just
128,فارم,form
129,سزا,sentence
130,عظیم,great
131,لگتا ہے,think
132,کا کہنا ہے کہ,say
133,مدد,help
134,کم,low
135,لائن,line
136,اختلاف,differ
137,باری,turn
138,وجہ,cause
139,زیادہ سے زیادہ,much
140,مطلب,mean
141,پہلے,before
142,اقدام,move
143,حق,right
144,لڑکے,boy
145,پرانے,old
146,بھی,too
147,ہی,same
148,وہ,she
149,تمام,all
150,وہاں,there
151,جب,when
152,اپ,up
153,استعمال,use
154,آپ,your
155,راستہ,way
156,کے بارے میں,about
157,بہت سے,many
158,پھر,then
159,ان,them
160,لکھنا,write
161,گا,would
162,کی طرح,like
163,تو,so
164,ان,these
165,اس,her
166,طویل,long
167,بنانے,make
168,بات,thing
169,دیکھیں,see
170,اس,him
171,دو,two
172,ہے,has
173,نظر,look
174,مزید,more
175,دن,day
176,کر سکتے ہیں,could
177,جاؤ,go
178,آئے,come
179,کیا,did
180,تعداد,number
181,آواز,sound
182,کوئی,no
183,سب سے زیادہ,most
184,لوگ,people
185,میرا,my
186,پر,over
187,جانتے ہیں,know
188,پانی,water
189,سے,than
190,کال,call
191,پہلے,first
192,جو,who
193,ہو سکتا ہے,may
194,نیچے,down
195,کی طرف,side
196,رہا,been
197,اب,now
198,تلاش,find
199,سر,head
200,کھڑے,stand
201,اپنے,own
202,صفحہ,page
203,چاہئے,should
204,ملک,country
205,پایا,found
206,جواب,answer
207,اسکول,school
208,اضافہ,grow
209,مطالعہ,study
210,اب بھی,still
211,جاننے کے,learn
212,پلانٹ,plant
213,کور,cover
214,کھانا,food
215,سورج,sun
216,چار,four
217,کے درمیان,between
218,ریاست,state
219,رکھنے کے,keep
220,آنکھ,eye
221,کبھی نہیں,never
222,آخری,last
223,دو,let
224,سوچا,thought
225,شہر,city
226,درخت,tree
227,پار,cross
228,فارم,farm
229,مشکل,hard
230,آغاز,start
231,ہو سکتا ہے,might
232,کہانی,story
233,ص,saw
234,اب تک,far
235,سمندر,sea
236,اپنی طرف متوجہ,draw
237,بائیں,left
238,دیر سے,late
239,رن,run
240,نہیں,don’t
241,جبکہ,while
242,پریس,press
243,بند کریں,close
244,رات,night
245,اصلی,real
246,زندگی,life
247,چند,few
248,شمالی,north
249,کتاب,book
250,لے جانے کے,carry
251,لیا,took
252,سائنس,science
253,کھانے,eat
254,کمرے,room
255,دوست,friend
256,شروع,began
257,خیال,idea
258,مچھلی,fish
259,پہاڑ,mountain
260,کو روکنے کے,stop
261,ایک بار,once
262,بنیاد,base
263,سن,hear
264,گھوڑا,horse
265,کٹ,cut
266,اس بات کا یقین,sure
267,گھڑی,watch
268,رنگین,color
269,چہرے,face
270,لکڑی,wood
271,اہم,main
272,کھولیں,open
273,لگتا ہے,seem
274,ایک ساتھ مل کر,together
275,اگلا,next
276,سفید,white
277,بچوں,children
278,شروع,begin
279,ملا,got
280,چلنا,walk
281,مثال کے طور پر,example
282,کم,ease
283,کاغذ,paper
284,گروپ,group
285,ہمیشہ,always
286,موسیقی,music
287,ان,those
288,دونوں,both
289,مارک,mark
290,اکثر,often
291,خط,letter
292,جب تک,until
293,میل,mile
294,دریا,river
295,کار,car
296,پاؤں,feet
297,دیکھ بھال,care
298,دوسری,second
299,کافی,enough
300,سادہ,plain
301,لڑکی,girl
302,معمول,usual
303,نوجوان,young
304,تیار,ready
305,اوپر,above
306,کبھی,ever
307,ریڈ,red
308,فہرست,list
309,اگرچہ,though
310,محسوس,feel
311,بات,talk
312,برڈ,bird
313,جلد ہی,soon
314,جسم,body
315,کتا,dog
316,خاندان,family
317,براہ راست,direct
318,لاحق,pose
319,چھوڑ,leave
320,نغمہ,song
321,پیمائش,measure
322,دروازہ,door
323,مصنوعات,product
324,سیاہ,black
325,مختصر,short
326,ہندسی,numeral
327,کلاس,class
328,ہوا,wind
329,سوال,question
330,ہو,happen
331,مکمل,complete
332,جہاز,ship
333,علاقے,area
334,نصف,half
335,راک,rock
336,حکم,order
337,آگ,fire
338,جنوبی,south
339,مسئلہ,problem
340,ٹکڑا,piece
341,بتایا,told
342,جانتا تھا,knew
343,پاس,pass
344,سے,since
345,سب سے اوپر,top
346,پورے,whole
347,بادشاہ,king
348,سڑک,street
349,انچ,inch
350,ضرب,multiply
351,کچھ بھی نہیں,nothing
352,کورس,course
353,رہنا,stay
354,وہیل,wheel
355,مکمل,full
356,طاقت,force
357,بلیو,blue
358,اعتراض,object
359,فیصلہ,decide
360,سطح,surface
361,گہری,deep
362,چاند,moon
363,جزائر,island
364,پاؤں,foot
365,نظام,system
366,مصروف,busy
367,ٹیسٹ,test
368,ریکارڈ,record
369,کشتی,boat
370,عام,common
371,سونا,gold
372,ممکن,possible
373,ہوائی جہاز,plane
374,جگہ,stead
375,خشک,dry
376,حیرت ہے,wonder
377,ہنسی,laugh
378,ہزار,thousand
379,پہلے,ago
380,بھاگ گیا,ran
381,چیک,check
382,کھیل ہی کھیل میں,game
383,شکل,shape
384,برابر,equate
385,گرم، شہوت انگیز,hot
386,مس,miss
387,لایا,brought
388,گرمی,heat
389,برف,snow
390,ٹائر,tire
391,لانے کے,bring
392,جی ہاں,yes
393,دور,distant
394,بھرنے,fill
395,وسطی,east
396,پینٹ,paint
397,زبان,language
398,میں,among
399,یونٹ,unit
400,بجلی,power
401,شہر,town
402,ٹھیک,fine
403,کچھ,certain
404,پرواز,fly
405,گر,fall
406,قیادت,lead
407,رونا,cry
408,سیاہ,dark
409,مشین,machine
410,نوٹ,note
411,انتظار,wait
412,منصوبہ بندی,plan
413,کے اعداد و شمار,figure
414,ستارہ,star
415,باکس,box
416,سنجشتھا,noun
417,میدان,field
418,باقی,rest
419,صحیح,correct
420,قابل,able
421,پونڈ,pound
422,ہو گیا,done
423,خوبصورتی,beauty
424,ڈرائیو,drive
425,کھڑا,stood
426,پر مشتمل ہے,contain
427,سامنے,front
428,سکھانا,teach
429,ہفتے,week
430,آخری,final
431,دی,gave
432,سبز,green
433,اوہ,oh
434,فوری,quick
435,ترقی,develop
436,سمندر,ocean
437,گرم,warm
438,مفت,free
439,منٹ,minute
440,مضبوط,strong
441,خصوصی,special
442,ذہن,mind
443,پیچھے,behind
444,واضح,clear
445,دم,tail
446,پیداوار,produce
447,حقیقت یہ ہے,fact
448,خلائی,space
449,سنا,heard
450,بہترین,best
451,گھنٹے,hour
452,بہتر,better
453,سچ,true
454,کے دوران,during
455,سو,hundred
456,پانچ,five
457,یاد,remember
458,قدم,step
459,ابتدائی,early
460,پکڑ,hold
461,مغرب,west
462,زمین,ground
463,دلچسپی,interest
464,تک پہنچنے,reach
465,تیزی سے,fast
466,فعل,verb
467,گانا,sing
468,سننا,listen
469,چھ,six
470,ٹیبل,table
471,سفر,travel
472,کم,less
473,صبح,morning
474,دس,ten
475,سادہ,simple
476,کئی,several
477,سر,vowel
478,کی طرف,toward
479,جنگ,war
480,پوشیدہ,lay
481,کے خلاف,against
482,پیٹرن,pattern
483,سست,slow
484,مرکز,center
485,محبت,love
486,شخص,person
487,پیسہ,money
488,خدمت,serve
489,ظاہر,appear
490,سڑک,road
491,نقشہ,map
492,بارش,rain
493,اصول,rule
494,حکومت,govern
495,ھیںچو,pull
496,سرد,cold
497,نوٹس,notice
498,آواز,voice
499,توانائی,energy
500,ہنٹ,hunt
501,ممکنہ,probable
502,بستر,bed
503,بھائی,brother
504,انڈے,egg
505,سواری,ride
506,سیل,cell
507,یقین,believe
508,شاید,perhaps
509,منتخب,pick
510,اچانک,sudden
511,شمار,count
512,چوک,square
513,وجہ,reason
514,لمبائی,length
515,کی نمائندگی,represent
516,فن,art
517,موضوع,subject
518,خطے,region
519,سائز,size
520,مختلف,vary
521,حل,settle
522,بات,speak
523,وزن,weight
524,جنرل,general
525,برف,ice
526,معاملہ,matter
527,دائرے,circle
528,جوڑی,pair
529,شامل,include
530,تقسیم,divide
531,شبدانش,syllable
532,محسوس,felt
533,گرینڈ,grand
534,گیند,ball
535,ابھی,yet
536,لہر,wave
537,ڈراپ,drop
538,دل,heart
539,صبح,am
540,موجودہ,present
541,بھاری,heavy
542,رقص,dance
543,انجن,engine
544,پوزیشن,position
545,بازو,arm
546,وسیع,wide
547,سیل,sail
548,مواد,material
549,حصہ,fraction
550,جنگل,forest
551,بیٹھ,sit
552,ریس,race
553,ونڈو,window
554,سٹور,store
555,موسم گرما,summer
556,ٹرین,train
557,نیند,sleep
558,ثابت,prove
559,واحد,lone
560,ٹانگ,leg
561,ورزش,exercise
562,دیوار,wall
563,کیچ,catch
564,پہاڑ,mount
565,خواہش,wish
566,آسمان,sky
567,بورڈ,board
568,خوشی,joy
569,موسم سرما,winter
570,ہفتہ,sat
571,لکھا,written
572,جنگلی,wild
573,آلہ,instrument
574,رکھا,kept
575,گلاس,glass
576,گھاس,grass
577,گائے,cow
578,کام,job
579,کنارے,edge
580,سائن ان کریں,sign
581,دورہ,visit
582,ماضی,past
583,نرم,soft
584,مزہ,fun
585,روشن,bright
586,گیس,gas
587,موسم,weather
588,ماہ,month
589,ملین,million
590,برداشت,bear
591,ختم,finish
592,خوش,happy
593,امید,hope
594,پھول,flower
595,کپڑے,clothe
596,عجیب,strange
597,چلا گیا,gone
598,تجارت,trade
599,میلوڈی,melody
600,سفر,trip
601,دفتر,office
602,حاصل,receive
603,قطار,row
604,منہ,mouth
605,عین مطابق,exact
606,علامت,symbol
607,مر,die
608,کم از کم,least
609,مصیبت,trouble
610,چللاو,shout
611,سوائے,except
612,لکھا,wrote
613,بیج,seed
614,سر,tone
615,میں شامل,join
616,مشورہ,suggest
617,صاف,clean
618,وقفے,break
619,لیڈی,lady
620,یارڈ,yard
621,اضافہ,rise
622,برا,bad
623,دھچکا,blow
624,تیل,oil
625,خون,blood
626,چھو,touch
627,اضافہ ہوا,grew
628,فیصد,cent
629,ملا,mix
630,ٹیم,team
631,تار,wire
632,قیمت,cost
633,کھو,lost
634,براؤن,brown
635,پہننا,wear
636,باغ,garden
637,برابر,equal
638,بھیجا,sent
639,منتخب کریں,choose
640,گر,fell
641,فٹ,fit
642,بہاؤ,flow
643,منصفانہ,fair
644,بینک,bank
645,جمع,collect
646,کو بچانے کے,save
647,کنٹرول,control
648,دشملو,decimal
649,کان,ear
650,اور,else
651,بہت,quite
652,توڑ دیا,broke
653,کیس,case
654,مشرق,middle
655,قتل,kill
656,بیٹا,son
657,جھیل,lake
658,لمحے,moment
659,پیمانے,scale
660,بلند آواز,loud
661,موسم بہار,spring
662,کا مشاہدہ,observe
663,بچے,child
664,براہ راست,straight
665,آواز,consonant
666,قوم,nation
667,ڈکشنری,dictionary
668,دودھ,milk
669,رفتار,speed
670,طریقہ,method
671,عضو,organ
672,ادائیگی,pay
673,عمر,age
674,سیکشن,section
675,کپڑے,dress
676,بادل,cloud
677,تعجب کی بات,surprise
678,پرسکون,quiet
679,پتھر,stone
680,چھوٹے,tiny
681,چڑھنے,climb
682,ڈاؤن لوڈ، اتارنا,cool
683,ڈیزائن,design
684,غریب,poor
685,بہت,lot
686,تجربہ,experiment
687,نیچے,bottom
688,اہم,key
689,لوہے,iron
690,ایک,single
691,چسپاں,stick
692,فلیٹ,flat
693,بیس,twenty
694,جلد,skin
695,مسکراہٹ,smile
696,کریج,crease
697,سوراخ,hole
698,کود,jump
699,بچے,baby
700,آٹھ,eight
701,گاؤں,village
702,ملو,meet
703,جڑ,root
704,خریدنے کے,buy
705,بلند,raise
706,حل,solve
707,دھات,metal
708,چاہے,whether
709,دھکا,push
710,سات,seven
711,پیراگراف,paragraph
712,تیسری,third
713,گے,shall
714,منعقد,held
715,بال,hair
716,وضاحت,describe
717,کک,cook
718,منزل,floor
719,یا تو,either
720,نتیجہ,result
721,جلا,burn
722,پہاڑی,hill
723,محفوظ,safe
724,بلی,cat
725,صدی,century
726,غور,consider
727,قسم,type
728,قانون,law
729,سا,bit
730,کوسٹ,coast
731,کاپی,copy
732,جملہ,phrase
733,خاموش,silent
734,قد,tall
735,ریت,sand
736,مٹی,soil
737,رول,roll
738,درجہ حرارت,temperature
739,انگلی,finger
740,صنعت,industry
741,قیمت,value
742,جنگ,fight
743,جھوٹ,lie
744,شکست دی,beat
745,اتیجیت,excite
746,قدرتی,natural
747,دیکھیں,view
748,احساس,sense
749,دارالحکومت,capital
750,نہیں,won’t
751,کرسی,chair
752,خطرہ,danger
753,پھل,fruit
754,امیر,rich
755,موٹی,thick
756,فوجی,soldier
757,عمل,process
758,کام,operate
759,پریکٹس,practice
760,علیحدہ,separate
761,مشکل,difficult
762,ڈاکٹر,doctor
763,براہ مہربانی,please
764,حفاظت,protect
765,دوپہر,noon
766,فصل,crop
767,جدید,modern
768,عنصر,element
769,مارا,hit
770,طالب علم,student
771,کونے,corner
772,پارٹی,party
773,فراہمی,supply
774,جن,whose
775,تلاش,locate
776,انگوٹی,ring
777,کردار,character
778,کیڑے,insect
779,پکڑے,caught
780,مدت,period
781,اس بات کی نشاندہی,indicate
782,ریڈیو,radio
783,بات چیت,spoke
784,ایٹم,atom
785,انسانی,human
786,تاریخ,history
787,اثر,effect
788,بجلی,electric
789,توقع,expect
790,ہڈی,bone
791,ریل,rail
792,تصور,imagine
793,فراہم کرتے ہیں,provide
794,اتفاق,agree
795,اس طرح,thus
796,نرم,gentle
797,عورت,woman
798,کیپٹن,captain
799,لگتا ہے,guess
800,ضروری,necessary
801,تیز,sharp
802,ونگ,wing
803,تخلیق,create
804,پڑوسی,neighbor
805,واش,wash
806,بیٹ,bat
807,بلکہ,rather
808,بھیڑ,crowd
809,مکئی,corn
810,موازنہ,compare
811,نظم,poem
812,تار,string
813,گھنٹی,bell
814,انحصار,depend
815,گوشت,meat
816,مسح,rub
817,ٹیوب,tube
818,مشہور,famous
819,ڈالر,dollar
820,ندی,stream
821,خوف,fear
822,نظر,sight
823,پتلی,thin
824,مثلث,triangle
825,سیارے,planet
826,جلدی,hurry
827,چیف,chief
828,کالونی,colony
829,گھڑی,clock
830,میرا,mine
831,ٹائی,tie
832,داخل,enter
833,اہم,major
834,تازہ,fresh
835,تلاش,search
836,بھیجیں,send
837,پیلے رنگ,yellow
838,بندوق,gun
839,کی اجازت,allow
840,پرنٹ,print
841,مردہ,dead
842,اسپاٹ,spot
843,صحرا,desert
844,سوٹ,suit
845,موجودہ,current
846,لفٹ,lift
847,گلاب,rose
848,پہنچ,arrive
849,ماسٹر,master
850,ٹریک,track
851,والدین,parent
852,کنارے,shore
853,ڈویژن,division
854,شیٹ,sheet
855,مادہ,substance
856,کی حمایت,favor
857,مربوط,connect
858,پوسٹ,post
859,خرچ,spend
860,راگ,chord
861,چربی,fat
862,خوشی,glad
863,اصل,original
864,حصہ,share
865,اسٹیشن,station
866,والد,dad
867,روٹی,bread
868,چارج,charge
869,مناسب,proper
870,بار,bar
871,پیشکش,offer
872,طبقہ,segment
873,غلام,slave
874,بتھ,duck
875,فوری طور پر,instant
876,مارکیٹ,market
877,ڈگری,degree
878,آباد,populate
879,لڑکی,chick
880,عزیز,dear
881,دشمن,enemy
882,جواب,reply
883,ڈرنک,drink
884,پائے جاتے ہیں,occur
885,کی حمایت,support
886,تقریر,speech
887,نوعیت,nature
888,رینج,range
889,بھاپ,steam
890,تحریک,motion
891,راستہ,path
892,مائع,liquid
893,لاگ ان,log
894,مطلب,meant
895,قسیم,quotient
896,دانت,teeth
897,شیل,shell
898,گردن,neck
899,آکسیجن,oxygen
900,چینی,sugar
901,موت,death
902,خوبصورت,pretty
903,مہارت,skill
904,خواتین,women
905,موسم,season
906,حل,solution
907,مقناطیس,magnet
908,چاندی,silver
909,شکریہ,thank
910,شاخ,branch
911,میچ,match
912,لاحقہ,suffix
913,خاص طور پر,especially
914,انجیر,fig
915,ڈر,afraid
916,بہت بڑا,huge
917,بہن,sister
918,سٹیل,steel
919,بات چیت,discuss
920,آگے,forward
921,اسی طرح,similar
922,رہنمائی,guide
923,تجربہ,experience
924,اسکور,score
925,ایپل,apple
926,خریدا,bought
927,قیادت,led
928,پچ,pitch
929,کوٹ,coat
930,بڑے پیمانے پر,mass
931,کارڈ,card
932,بینڈ,band
933,رسی,rope
934,پرچی,slip
935,جیت,win
936,خواب,dream
937,شام,evening
938,حالت,condition
939,فیڈ,feed
940,آلے,tool
941,کل,total
942,بنیادی,basic
943,بو,smell
944,وادی,valley
945,اور نہ ہی,nor
946,ڈبل,double
947,نشست,seat
948,جاری,continue
949,بلاک,block
950,چارٹ,chart
951,ٹوپی,hat
952,فروخت,sell
953,کامیابی,success
954,کمپنی,company
955,منہا,subtract
956,واقعہ,event
957,خاص طور پر,particular
958,معاہدے,deal
959,تیر,swim
960,اصطلاح,term
961,اس کے برعکس,opposite
962,بیوی,wife
963,جوتا,shoe
964,کندھے,shoulder
965,پھیلاؤ,spread
966,بندوبست,arrange
967,کیمپ,camp
968,ایجاد,invent
969,کپاس,cotton
970,پیدا ہوا,born
971,کا تعین,determine
972,کرسٹل,quart
973,نو,nine
974,ٹرک,truck
975,شور,noise
976,سطح,level
977,موقع,chance
978,جمع,gather
979,دکان,shop
980,مسلسل,stretch
981,پھینک,throw
982,چمک,shine
983,جائیداد,property
984,کالم,column
985,انو,molecule
986,منتخب کریں,select
987,غلط,wrong
988,بھوری رنگ,gray
989,دوبارہ,repeat
990,کی ضرورت ہوتی ہے,require
991,وسیع,broad
992,تیار,prepare
993,نمک,salt
994,ناک,nose
995,جمع,plural
996,غصہ,anger
997,دعوی,claim
998,براعظم,continent
